visual_element,it_allows_the_reader_to_infer,it_does_not_allow_the_reader_to_infer,design_mechanism,words_over_time_example
Frequency chart,"A source-specific visibility trend for selected terms or forms.","Total cultural importance; universal language use; first historical use.","Label frequency as corpus visibility and attach source/date range.","FrequencyTimeline and hub Ngram proxy notes."
Attestation card or evidence anchor,"A documented occurrence or lexical evidence point in a named source.","The absolute first historical use across all English.","Separate attestation from plotted frequency and name source type.","Hub evidence anchors and EvidenceArchive."
Semantic family or attractor,"A curated interpretive grouping or relation among forms and meanings.","An automatic dictionary definition or synonym equivalence.","Use field distance, labels, and variant policy rather than one definition box.","Artificial semantic attractor."
Context snippet or source summary,"A local usage environment that supports interpretation.","A complete historical explanation or representative sample of all uses.","Keep snippets attached to source, date, and rights status.","Forever context signal field; DataSocializedGeneration."
Boundary note,"A claim limitation, uncertainty, or do-not-claim rule.","Evidence weakness only, or an optional footnote outside the interface.","Place limits inside the visual system rather than after the argument.","Hub caution lists; About page archive limits."
Rights note,"Source, attribution, and reuse condition for evidence material.","Ownership of the underlying source or permission to republish restricted material.","Use source ledgers and rights-status labels.","EvidenceArchive and methodology rights page."
Empty or pending state,"A known evidence gap or incomplete layer.","Proof that the usage did not exist.","Label pending, missing, restricted, or unavailable states explicitly.","About page confidence and boundary labels."
Multi-panel page sequence,"Several source roles or semantic pressures shown as related but distinct.","One linear progress story with a single cause.","Use section breaks, panel titles, and different visual grammars for different evidence types.","DataPoster's four charts and ArtificialPoster's six charts."
Color and layer system,"A stable distinction among semantic zones, evidence roles, or confidence layers.","A natural or universal taxonomy outside the project.","Treat color as a design program tied to declared roles.","About page design-method references and page legends."
Inspector or archive layer,"A path from visual mark to source record.","That every source can be fully reproduced or freely copied.","Expose metadata, source status, and inspectability without overquoting.","EvidenceArchive and MiniInspectorMenu."
