artifact_id,artifact_type,route_or_file,word_or_scope,visual_communication_role,analysis_use,status,notes
site_about,methodology_page,src/app/about/page.tsx,sitewide,"Method and rights framing","Use to establish that Words Over Time is not a dictionary and does not equate frequency with importance.",ready,"Contains source-led method language and rights/source notes."
word_index,index_page,src/data/words.ts,sitewide,"Corpus of available word studies","Use to justify case selection and identify complete pages.",ready,"Complete pages include data, hub, privacy, forever, artificial, depression."
data_page,word_page,src/app/words/data/page.tsx,data,"Case study page","Primary case walkthrough for data as evidence, storage, infrastructure, grammar, and governance pressure.",ready,"Thin route; visual structure is in DataPoster and related components."
data_poster,poster_component,src/components/DataPoster.tsx,data,"Multi-chart semantic-change sequence","Analyze four-part structure: historical index, socialized generation, datum route, cross pressures.",ready,"Useful for showing visual segmentation across time scales and semantic pressures."
artificial_page,word_page,src/app/words/artificial/page.tsx,artificial,"Case study page","Primary case walkthrough for artifice, manufacture, reproduction, suspicion, computation, and human boundary.",ready,"Thin route; visual structure is in ArtificialPoster and chart components."
artificial_poster,poster_component,src/components/ArtificialPoster.tsx,artificial,"Layered semantic transition sequence","Analyze how the page keeps related meanings adjacent without collapsing them into synonyms.",ready,"Strong case for semantic family versus dictionary definition."
hub_page,word_page,src/app/words/hub/page.tsx,hub,"Case study page","Primary third case for metaphor, routing, naming machine, and dependency boundary.",ready,"Thin route; visual structure is in HubPoster and hub chart components."
hub_poster,poster_component,src/components/HubPoster.tsx,hub,"Evidence-hardened naming and dependency system","Analyze explicit caution language around Ngram proxies, attestation, and naming claims.",ready,"Strongest boundary-language case."
privacy_page,word_page,src/app/words/privacy/page.tsx,privacy,"Optional third case","Use if the article needs legal/data-governance pressure rather than hub's metaphor/infrastructure line.",ready,"Complex legal and geographic source layers may broaden the paper."
forever_page,word_page,src/app/words/forever/page.tsx,forever,"Optional figure/supporting example","Use selectively to show attestation versus frequency and modern context fields.",ready,"Good source-boundary phrasing but not currently a primary case."
evidence_archive,component,src/components/EvidenceArchive.tsx,shared,"Evidence ledger and inspectability layer","Use as cross-page proof that the project treats evidence as inspectable material.",ready,"Especially useful for Signal/Attestation/Context discussion."
word_seo_summary,component,src/components/WordSeoSummary.tsx,shared,"Public boundary and method pointer","Use as a small example of routing readers back to methodology and rights.",ready,"Supports claim that source boundaries are part of public presentation."
