screenshot_id,route,component_or_region,case,viewport_size,capture_date,commit_hash,intended_use,status,notes
data_full_page,/words/data,full page,data,1440x1800,pending,pending,figure_2_or_6,pending,"Capture after deciding scroll height and article crop."
data_historical_index,/words/data,DataHistoricalIndex,data,1440x1000,pending,pending,figure_6,pending,"Signal example: long formation versus contemporary density."
data_datum_route,/words/data,DataDatumRoute,data,1440x1000,pending,pending,figure_6,pending,"Variant-policy example: datum/data and grammar route."
data_cross_pressures,/words/data,DataCrossPressures,data,1440x1000,pending,pending,figure_6,pending,"Boundary example: contested pressures without hierarchy."
artificial_full_page,/words/artificial,full page,artificial,1440x1800,pending,pending,figure_7,pending,"Use if full sequence matters."
artificial_semantic_chamber,/words/artificial,ArtificialChart01SemanticChamber,artificial,1440x1000,pending,pending,figure_7,pending,"Variant and sense-boundary example."
artificial_semantic_attractor,/words/artificial,ArtificialChart04BSemanticAttractor,artificial,1440x1000,pending,pending,figure_7,pending,"Best figure for semantic proximity not synonymy."
artificial_human_boundary,/words/artificial,ArtificialChart05HumanBoundary,artificial,1440x1000,pending,pending,figure_7,pending,"Boundary shift example."
hub_full_page,/words/hub,full page,hub,1440x1800,pending,pending,figure_2_or_8,pending,"Use as interface overview if hub becomes primary third case."
hub_semantic_field,/words/hub,HubChart01SemanticField,hub,1440x1000,pending,pending,figure_8,pending,"Signal plus attestation and caution notes."
hub_naming_machine,/words/hub,HubChart03NamingMachine,hub,1440x1000,pending,pending,figure_8,pending,"Variant/productivity example."
hub_centrality_boundary,/words/hub,HubChart04CentralityRebuilt,hub,1440x1000,pending,pending,figure_8,pending,"Boundary instrument example."
privacy_legal_injury,/words/privacy,PrivacyChart01LegalInjury,privacy_optional,1440x1000,pending,pending,optional,pending,"Use only if replacing hub with legal/governance case."
about_methodology,/about,method and limits,project_context,1440x1200,pending,pending,project_context,pending,"Useful for source limits and rights framing."
