component_or_element,route_or_file,evidence_role,visual_form,epistemic_function,overclaim_it_resists,article_section
Frequency chart,src/components/FrequencyTimeline.tsx,Signal,"timeline curve; plotted frequency field","Shows source-specific visibility over time.","Frequency equals importance; frequency equals first use.",source_boundary_grid
Historical index,src/components/DataHistoricalIndex.tsx,Signal,"dual-panel timeline; period segmentation","Separates long formation from contemporary density.","Recent density swallows long history.",case_data
Socialized data generation,src/components/DataSocializedGeneration.tsx,Context,"semantic zones; rings; compressed core","Shows platform-era terms as grouped pressures rather than a single origin story.","AI alone made data social.",case_data
Datum route,src/components/DataDatumRoute.tsx,Variant,"grammatical pathway; singular/plural route","Makes form and grammar policy visible.","Data has one stable grammatical status.",case_data
Data cross pressures,src/components/DataCrossPressures.tsx,Boundary,"field map; non-hierarchical pressure layout","Shows simultaneous competing claims around data.","One domain stabilizes the term.",case_data
Artificial semantic chamber,src/components/artificial/chart01/ArtificialChart01SemanticChamber.tsx,Variant,"spatial planes; semantic chambers","Keeps word family, technical construction, and sense boundaries visible at once.","Artificial simply means fake.",case_artificial
Artificial pressure diagram,src/components/artificial/chart02/ArtificialChart02PressureDiagram.tsx,Context,"hover-state pressure diagram","Links selected readings to a fixed abstract pressure structure.","A single chart state exhausts the meaning.",case_artificial
Mechanical reproduction suite,src/components/artificial/chart03/ArtificialChart03InteractiveSuite.tsx,Context,"apparatus layers; burst-period timeline","Connects manufactured senses and authenticity pressure.","Frequency alone explains the semantic turn.",case_artificial
Suspicion orbit,src/components/artificial/chart04/ArtificialChart04APejorationOrbit.tsx,Boundary,"orbit; returning contexts","Frames negative charge as contextual recurrence, not synonym collapse.","Artificial is equivalent to fake.",case_artificial
Semantic attractor,src/components/artificial/chart04/ArtificialChart04BSemanticAttractor.tsx,Variant,"semantic field; distance relation","Shows made, synthetic, simulated, realistic, and fake-adjacent relations.","Semantic family equals automatic dictionary definition.",case_artificial
Human boundary,src/components/artificial/chart05/ArtificialChart05HumanBoundary.tsx,Boundary,"layered 3D stack","Shows movement from apparatus to human process while preserving boundary shifts.","Artificial-human relation is one linear replacement narrative.",case_artificial
Hub semantic field,src/components/hub/HubChart01SemanticField.tsx,Signal,"semantic-frequency field; layered terms","Uses Ngram proxies plus evidence notes to distinguish mechanical, place, and system centers.","Ngram visibility proves first attestation.",case_hub
Hub transfer model,src/components/hub/HubChart02TransferModel.tsx,Context,"flat transfer diagram; flow terms","Shows transport/logistics inputs into hub-and-spoke and network extensions.","Flow width equals traffic volume or total popularity.",case_hub
Hub naming machine,src/components/hub/HubChart03NamingMachine.tsx,Variant,"radial naming diagram; X + hub families","Frames hub as a reusable naming operator.","Platform/brand examples are ordinary lexical frequency.",case_hub
Hub centrality rebuild,src/components/hub/HubChart04CentralityRebuilt.tsx,Boundary,"dependency map; caution boundary layer","Shows hub as stable naming format rather than stable object.","Hub names one stable object across domains.",case_hub
Privacy semantic weather,src/components/privacy/PrivacyChart01SemanticWeather.tsx,Context,"semantic weather field","Links seclusion, secrecy, legal claim, and data protection as transitions.","Privacy has one continuous legal definition.",optional_privacy
Privacy legal injury,src/components/privacy/PrivacyChart01LegalInjury.tsx,Attestation,"legal matrix; rights anchors","Shows publicity, likeness, intrusion, injury, and rights language as legal evidence.","Legal source anchors equal total cultural history.",optional_privacy
Privacy world signal,src/components/privacy/PrivacyChart02GeoAttention.tsx,Signal,"country density; city/institution points","Shows recovered geographic visibility signals.","Search frequency causes geographic or demographic outcomes.",optional_privacy
Evidence archive,src/components/EvidenceArchive.tsx,Rights,"ledger; source rows; source status","Keeps source attribution, rights status, and inspectability visible.","Evidence can be reused without source and rights limits.",source_boundary_grid
Methodology and rights page,src/app/about/page.tsx,Rights,"method page; source tables; limits list","States project-level claims and limits.","The site is a dictionary or universal corpus.",project_context
