phrase_or_pair,reason_to_check,cluster,priority,notes
artificial flowers,Check whether it works as substitute evidence and possible imitation bridge,substitute_field,1,"Must check; likely strong visible evidence."
artificial teeth,Check historical and corpus value as replacement evidence,substitute_field,1,"Must check; default visible label."
artificial light,Check frequency and contexts as substitute / environmental replacement,substitute_field,1,"Must check; also supports natural light / artificial light."
natural light / artificial light,Check paired usage and contrast contexts,not_natural,1,"Must check; strongest environment/perception pair."
natural flavor / artificial flavor,Check paired usage and timing for naturalness contrast,not_natural,1,"Must check; strong taste/food pair."
natural ingredients / artificial ingredients,Check paired usage and consumer-discourse contexts,not_natural,1,"Must check; strong but should not dominate."
fake,Check proximity to artificial in dictionary/snippet contexts without overstating equivalence,not_real,1,"Must check; use as pressure evidence only."
not genuine,Check dictionary and usage support around artificial as not genuine,not_real,1,"Must check; central authenticity-pressure label."
imitation,Check links between artificial and imitation/substitute senses,not_real,1,"Must check; strong bridge evidence."
artificial limb,Check historical and corpus value as replacement evidence,substitute_field,2,"Useful optional / secondary label."
natural color / artificial color,Check whether it is stronger or weaker than light/flavor/ingredients,not_natural,2,"Useful but likely not visible in first layout."
natural colour / artificial colour,Check British spelling coverage for color pair,not_natural,3,"Optional variant."
all natural,Check only as background consumer-discourse evidence,background_only,3,"Do not let this dominate Chart 2; likely Chart 4."
no artificial ingredients,Check only as background consumer-discourse evidence,background_only,3,"Do not let this dominate Chart 2; likely Chart 4."
