term,window,signal_type,summary,source_reference,confidence,notes
artificial,1800-2019,baseline_visibility_only,Existing Chart 4 baseline already includes the term and this pass does not treat unigram frequency as semantic proof.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,No rerun.
fake,1800-2019,baseline_visibility_only,Existing baseline includes fake as a comparator but frequency is used only for visibility.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,No semantic inference from unigram trend alone.
synthetic,1800-2019,baseline_visibility_only,Existing baseline includes synthetic and makes later targeted semantic comparison possible.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,No rerun.
imitation,1800-2019,baseline_visibility_only,Existing baseline includes imitation for substitute and copy comparisons.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
simulated,1800-2019,baseline_visibility_only,Existing baseline includes simulated but usage context must come from dictionaries and snippets.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
realistic,1800-2019,baseline_visibility_only,Existing baseline includes realistic as a bridge term.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
genuine,1800-2019,baseline_visibility_only,Existing baseline includes genuine for authenticity contrast.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
authentic,1800-2019,baseline_visibility_only,Existing baseline includes authentic for provenance contrast.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
natural,1800-2019,baseline_visibility_only,Existing baseline includes natural as the main contrast basin anchor.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
processed,1800-2019,baseline_visibility_only,Existing baseline includes processed as a consumer and industrial neighbor.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
constructed,1800-2019,baseline_visibility_only,Existing baseline includes constructed for made branch comparison.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
manufactured,1800-2019,baseline_visibility_only,Existing baseline includes manufactured for industrial comparison.,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,high,Visibility only.
