term,source_name,source_type,source_url,period_or_date,sense_label,short_extract_or_paraphrase,relevance_to_chart4b,confidence,notes
artificial,WordReference,learner_dictionary,https://www.wordreference.com/definition/artificial,2026,multi_sense,"Made by human skill and not natural; can also mean imitation or not real; can also mean forced or false.",Core boundary term with a made branch and a fake adjacent branch,high,Best compact modern entry for Chart 4B.
artificial,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,1828,multi_sense,"Made by art in opposition to natural; also feigned fictitious and not genuine.",Shows the split between not natural and not genuine is old and explicit,high,Useful checkpoint not origin proof.
fake,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/fake,2026,fake_deceptive,"Not true real or genuine; counterfeit or sham; something passed off as what it is not.",Strong contrast term because deception and non genuineness are central,high,More deception centered than artificial.
false,WordReference,learner_dictionary,https://www.wordreference.com/definition/false,2026,false_deceptive,"Not true; deceptive; not genuine; sometimes an artificial substitute such as false teeth.",Shows overlap with artificial on substitute uses but broader truth and error senses,high,Very broad comparator.
counterfeit,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/counterfeit,2026,counterfeit_deceptive,"Made in imitation of something else with intent to deceive.",Important fake basin anchor because deception is built in,high,Stronger fraud signal than fake.
sham,WordReference,learner_dictionary,https://www.wordreference.com/definition/sham,2026,sham_pretence,"A fraud or pretended thing; false or counterfeit; to make a false show.",Useful for the feigned and affected edge of artificial,high,Often social or performative.
synthetic,WordReference,learner_dictionary,https://www.wordreference.com/definition/synthetic,2026,synthetic_material,"Formed through chemical process by human agency rather than natural origin; can also mean false or pretended.",Strong material and industrial neighbor to artificial,high,Closer in additives and materials than in sincerity contexts.
imitation,WordReference,learner_dictionary,https://www.wordreference.com/definition/imitation,2026,imitation_copy,"A copy or counterfeit; designed to imitate a genuine or superior article.",Useful substitute and copy branch without requiring fraud in every case,high,Often object focused.
simulated,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/simulated,2026,simulated_appearance,"Made to look genuine; fake.",Shows why simulated can touch the fake basin in appearance contexts,medium,Need more non dictionary context for broader technical uses.
realistic,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/realistic,2026,realistic_representation,"Accurately representing what is natural or real; convincingly rendered to appear natural.",Bridge term that can modify artificial things without making them real,high,Crucial for the realistic versus real distinction.
real,WordReference,learner_dictionary,https://www.wordreference.com/definition/real,2026,real_actual,"Actual or genuine; not counterfeit artificial or imitation.",Strong contrast anchor to artificial and fake alike,high,More existential and authenticity loaded than realistic.
genuine,WordReference,learner_dictionary,https://www.wordreference.com/definition/genuine,2026,genuine_authentic,"Real and possessing the claimed origin or character; not counterfeit; sincere.",Strong contrast anchor on both object authenticity and sincerity,high,Helps separate authentic feeling from artificial manners.
authentic,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/authentic,2026,authentic_authorized,"Not false or imitation; real or actual; also trustworthy or true to an original.",Useful contrast term with extra authority and provenance weight,high,Not identical with natural.
natural,WordReference,learner_dictionary,https://www.wordreference.com/definition/natural,2026,natural_not_artificial,"Existing in or formed by nature and not by humans; also spontaneous and unaffected; minimally processed in food.",Strong contrast field for artificial across material and behavioral uses,high,Do not collapse with genuine.
constructed,WordReference,learner_dictionary,https://www.wordreference.com/definition/constructed,2026,constructed_built,"Built or formed by putting parts together.",Neutral made branch near the core of artificial,high,Little deception by itself.
manufactured,WordReference,learner_dictionary,https://www.wordreference.com/definition/manufactured,2026,manufactured_industrial,"Made or produced by hand or machinery on a large scale; can also mean made up.",Industrial neighbor that can drift toward contrived in some figurative uses,medium,Useful for processed consumer basin.
processed,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/processed,2026,processed_treated,"Subjected to a special process or treatment in the course of manufacture.",Consumer and additive neighbor rather than a fake synonym,high,Closer to industrial handling than to deception.
artificial,Etymonline,etymology_source,https://www.etymonline.com/word/artificial,2026,chronology_pointer,"Secondary chronology lists made by art; imitation or substitute; affected or insincere; fictitious or not genuine.",Supports the historical branching logic for basin drift,medium,Use as chronology pointer not final dating proof.
