id,phrase_or_context,year_or_period,source_name,source_type,source_url,semantic_signal,short_summary,confidence,notes
c001,artificial tears,1590s,Henry VI Part 3 via Project Gutenberg,book_snippet,https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,fake_adjacent,Artificial marks feigned emotion and deceptive performance rather than neutral manufacture.,high,Existing round 02 and 03 strong anchor.
c002,artificial manners,1787,Thoughts on the Education of Daughters via Project Gutenberg,book_snippet,https://www.gutenberg.org/ebooks/67466.html.images,fake_adjacent,Artificial is opposed to genuine feeling and signals affectation.,high,Strong sincerity contrast.
c003,artificial satellite,current,WordReference,learner_dictionary,https://www.wordreference.com/definition/artificial,not_fake,Artificial can denote human made without any fraud or sham implication.,high,Best compact artificial not fake example.
c004,artificial flowers,current,WordReference,learner_dictionary,https://www.wordreference.com/definition/artificial,imitation_or_substitute,Artificial can name a substitute object that resembles a natural counterpart without necessarily deceiving anyone.,high,Good bridge to imitation basin.
c005,artificially colored,1904,The Port Gibson Reveille via Chronicling America,newspaper_snippet,https://chroniclingamerica.loc.gov/lccn/sn86090233/1904-05-12/ed-1/seq-6/,processed_consumer,Artificial enters food trust and additive scrutiny without becoming a straight synonym for fake.,medium,OCR review still desirable.
c006,no artificial flavoring,1950,Evening Star via Chronicling America,advertising_snippet,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,absence_claim,Absence of artificial becomes a positive consumer claim and links artificial to additive suspicion.,medium,Good 4A to 4B bridge.
c007,artificial flavor and artificial color,current CFR,21 CFR 101.22,regulatory_source,https://ecfr.io/Title-21/Section-101.22,regulatory_category,Regulation stabilizes artificial as a label visible industrial category rather than a fraud word.,high,Background not pejoration proof.
c008,no artificial colors,2026,FDA,regulatory_source,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims,absence_claim,Modern labeling still treats artificial as a live contrast term in consumer food language.,high,Recent official evidence.
c009,realistic artificial skin,2026,Merriam-Webster realistic entry,dictionary_example,https://www.merriam-webster.com/dictionary/realistic,realistic_bridge,An artificial thing can be realistic by resembling what is natural or real without becoming real itself.,high,Strong realistic versus real bridge.
c010,realistic artificial flowers,2025,news and product snippet cluster,news_snippet,https://www.thetimes.com/uk/environment/article/alan-titchmarsh-flower-fake-srgk9k2hz,realistic_bridge,Modern usage treats artificial flowers as capable of lifelike realism which suggests simulation and imitation rather than direct fraud.,medium,Media snippet not a balanced corpus.
c011,simulated combat and simulated crashes,current,Merriam-Webster simulated entry,dictionary_example,https://www.merriam-webster.com/dictionary/simulated,simulation_usage,Simulated often points to modeled scenarios or training environments rather than generic human made materiality.,medium,Shows simulated is narrower than artificial.
c012,imitation leather,current,WordReference imitation entry,learner_dictionary,https://www.wordreference.com/definition/imitation,imitation_usage,Imitation foregrounds copying a genuine article and sits closer to substitute logic than neutral artificial.,high,Object copy frame.
c013,natural food and natural ingredients,current,WordReference natural entry,learner_dictionary,https://www.wordreference.com/definition/natural,natural_contrast,Natural is opposed to artificial in both origin and food processing discourse.,high,Do not collapse with genuine.
c014,real antique and real diamond,current,WordReference real entry,learner_dictionary,https://www.wordreference.com/definition/real,real_contrast,Real opposes counterfeit artificial and imitation directly and therefore belongs in the strongest contrast field.,high,Realistic must remain separate.
