phrase,status,primary_sense,secondary_sense,source_count,strongest_source,earliest_reliable_year_or_period,ngram_signal,chart_01_usefulness,confidence,needs_manual_review,notes
artificial day,supporting_anchor,technical_rule_reckoning,not_natural,3,Etymonline plus Johnson secondary transcription,late medieval claimed; 1755 secondary Johnson transcription; Ngram visible 1800,collected; visible 1800-2019,supporting,medium,true,Semantically excellent but public comprehension and primary attestation need checking.
artificial memory,supporting_anchor,technical_rule_reckoning,art_skill_making,2,Rhetorica ad Herennium memory passage,classical rhetorical tradition; English chronology unresolved,collected; visible 1800-2019,supporting,medium,true,"Strong for learned technique, weak for English lexical chronology without more snippets."
artificial arguments,strong_anchor,technical_rule_reckoning,art_skill_making,2,Webster 1828 artificial entry,1828 securely; Johnson needs manual check,collected in audit check,supporting,high,true,Strong technical-rhetorical sense; manual Johnson/OED check needed before core use.
artificial lines,strong_anchor,technical_rule_reckoning,contrivance_construction,1,Webster 1828 artificial entry,1828,collected in audit check,supporting,high,false,"Good proof that artificial can mean rule/technical construction, not fake."
artificial numbers,strong_anchor,technical_rule_reckoning,,1,Webster 1828 artificial entry,1828,collected in audit check,supporting,high,false,Very compact technical example: logarithms.
made by art,supporting_anchor,art_skill_making,not_natural,2,Webster 1828; Ngram,1828 dictionary; Ngram visible 1800,collected; visible,supporting,high,false,Best as a definition phrase rather than standalone historical phrase.
made by skill,background_only,art_skill_making,,1,Ngram only in this audit,Ngram visible from 1810,collected but weak,background,low,true,Too generic without dictionary/snippet support.
human skill,supporting_anchor,art_skill_making,,2,Webster 1828 definition phrase; Ngram,1828 dictionary; Ngram visible 1800,collected; visible,supporting,medium,false,"Useful for paraphrase/support, not a distinctive phrase anchor."
by art or human skill,supporting_anchor,art_skill_making,contrivance_construction,2,Webster 1828 and Etymonline artificially,1828 secure; early 15c. claimed by Etymonline for artificially,not collected as exact phrase,supporting,medium,true,Very strong semantically; needs exact-source handling if quoted.
contrived by art,background_only,contrivance_construction,art_skill_making,2,Webster 1828 artificial; Merriam-Webster etymology,1828 secure; older etymology in modern dictionary,not collected as exact phrase,background,medium,false,"Good bridge wording, but risks making the chart about contrivance rather than art/skill."
