source_name,source_type,access_status,terms_checked,terms_found,chart_01_value,reliability,limitations,notes
Oxford English Dictionary,authoritative_dictionary,not_accessible,artificial; artifice; artificer,,high,high,Subscription source not accessed in this environment.,Still needed for precise earliest-date claims and full obsolete technical sense tree.
Middle English Dictionary,authoritative_dictionary,search_only,artificial; artifice; artificer,No stable direct entry found through web search in this pass.,medium,high,Search did not surface exact relevant entries; deeper MED interface work may be needed.,Useful if it can confirm Middle English forms; not required if OED supplies earliest evidence.
Etymonline,etymology_source,accessed,artificial; artificially; artifice; artificer; art; artifact; artisan,artificial; artificially; artifice; artificer; art; artifact; artisan,high,medium,Secondary etymology; dates and sense order need OED/primary confirmation before final copy.,Best compact chronology source for the art/skill/making-to-fake boundary.
Webster 1828,historical_dictionary,accessed,artificial; art; artifice; artificer; artless; factitious,artificial; art; artifice; artificer; artless; factitious,high,high,"A nineteenth-century checkpoint, not earliest evidence.",Strongest accessible public-domain fallback for sense boundaries.
Johnson's Dictionary Online,historical_dictionary,partially_accessed,artificial; artifice; artificer,Search interface accessible; direct stable term pages not captured.,medium,high,Interface/search output not stable enough for direct extraction here.,Direct Johnson verification remains a final-copy task.
Johnson via Definitions.net,backup_source,accessed,artificial; artifice; factitious,artifice; factitious; artificial secondary transcription referenced from previous pass,medium,low,Secondary transcription; do not treat as direct Johnson proof.,Useful as a pointer: artifice includes trick/fraud/stratagem and art/trade.
Century Dictionary via Wordnik,historical_dictionary,accessed,artificial; artifact,artificial; artifact,high,medium,Wordnik reproduces Century text but is not the original scan.,"Very useful because it separates technical, skill/art, not-natural, imitation, fake, affected, and artful senses."
Century / Webster via FineDictionary,backup_source,accessed,artificial; artifice; artifact,artificial; artifice; artifact,medium,medium,Secondary dictionary aggregation; use as corroboration only.,Confirms Chambers/Century/Webster-style sense boundary patterns.
Worcester Dictionary,historical_dictionary,search_only,artificial; artifice,No stable direct extract found in this pass.,low,medium,Not enough accessible text found quickly.,Optional; Webster/Century cover the key boundary well enough.
Imperial Dictionary,historical_dictionary,search_only,artificial; artifice,No stable direct extract found in this pass.,low,medium,Not enough accessible text found quickly.,Optional backup only.
Webster 1913 / Collaborative International Dictionary,historical_dictionary,accessed,artificial; artificially; artifice,artificial; artificially; artifice,medium,medium,Later than Webster 1828; often derivative of earlier dictionary tradition.,"Useful for technical phrases such as artificial arguments, lines, numbers and artificially as by skill/contrivance."
Merriam-Webster,modern_dictionary,accessed,artificial; artifice; artificer; art,artificial; artifice; artificer; art,high,high,Modern dictionary; not early quotation evidence.,Strong etymology and sense-boundary support.
Cambridge Dictionary,learner_dictionary,accessed,artificial,artificial,medium,high,Modern learner source only.,Good for distinguishing made-by-people/copy-of-nature from not sincere.
Oxford Learner's Dictionary,learner_dictionary,accessed,artificial,artificial,medium,high,Modern learner source only.,"Useful for separating artificial, synthetic, false, man-made, fake, and imitation."
Collins via WordReference,modern_dictionary,accessed,artificial,artificial,medium,medium,Modern dictionary aggregation page.,Confirms Latin artificialis/artificium and modern sense separation.
Wiktionary,backup_source,accessed,artificer; artificial,artificer; artificial,low,low,Community-edited; use only as backup/source pointer.,Useful for Middle English artificer forms only if no stronger source is available.
Rhetorica ad Herennium memory passage,secondary_scholarly,accessed,artificial memory,artificial memory concept,medium,medium,"Conceptual/rhetorical tradition source, not English lexical first-use evidence.",Good support for learned technique if framed carefully.
