variant_spelling,result,status
artificial,confirmed in Etymonline/MW/Johnson/Webster tradition,confirmed
artificall,searched; modern search noise high; Sherry/Wilson/Fulwood show artificiall as variant in phrases,confirmed
artificiale,"Latin/French family noted, no English snippet captured",possible
artificiel,"Old/Middle French form from etymological sources, not English use",possible
artificy,not found in useful Chart 1 source,not_found
artificially,Etymonline claims early 15c. by art/human skill/contrivance,confirmed
artificiallie,not found in useful Chart 1 source,not_found
artifice,confirmed in Etymonline and Johnson secondary,confirmed
artificer,confirmed in Etymonline/MW; direct pre-1828 snippet not captured,possible
artificers,not pursued beyond scope,not_found
artificial day,Etymonline claimed; direct pre-1828 snippet not captured,possible
artificiall day,"searched, not found in useful source",not_found
artificall day,"searched, not found in useful source",not_found
artificial memory,concept confirmed; English artificiall memory in Wilson/Fulwood,confirmed
artificiall memory,confirmed in Wilson/Fulwood context,confirmed
artificial arguments,Johnson/Webster tradition; Sherry has artificiall proofs rather than exact phrase,possible
artificiall arguments,not exact; Sherry has artificiall/vnartificial proofs,possible
artificial lines,pre-1828 direct source not captured; Webster 1828 checkpoint only,not_found
artificiall lines,not found in useful pre-1828 source,not_found
artificial numbers,confirmed through Napier/logarithm history,confirmed
artificiall numbers,not found in useful pre-1828 source,not_found
