"query","normalized_query","intent_type","topic_cluster","target_page","current_impressions","current_clicks","current_ctr","average_position","current_title","current_visible_answer","current_anchor","mismatch","proposed_heading","proposed_answer_requirement","evidence_source_required","overclaim_risk","priority","confidence","effort","measurement_plan"
"word usage over time","word usage over time","research discovery","site / word studies","/","14","unknown","unknown","unknown","Words Over Time: Word Meaning, History, and Usage","The visible home copy names semantic change, word frequency, search statistics, design research, and infographic art; it does not give a concise source-and-coverage explanation of what a visitor can study.","#home-title (at page end)","Diagnosis blocked: the screenshot has no query-page pairing or position, so low ranking and CTR at a competitive position cannot be separated. Intent broadly matches, but the explanatory H1 is visually late and the first screen is primarily a word list.","How Words Over Time studies word usage","State that this is a source-led collection of historical frequency, attestation, form variation, context, and interpretive visual studies; link to /words and /about without promising complete language coverage.","src/app/page.tsx; src/lib/site.ts; docs/research/README.md","Medium: avoid implying corpus frequency equals all usage or semantic proof.","P1","high","low","Hypothesis: a first-screen server-rendered project explanation and crawlable /words link will improve qualified discovery and post-click orientation for this query. Release-annotate, then compare exact query × page impressions, clicks, CTR, and average position at 28 and 56 days against matched prior windows, segmented by device; interpret CTR only within comparable position bands."
"forever spelling","forever spelling","orthography","forever / spelling","/words/forever","63","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The hero says forever is traced through permanence, repetition, devotion, memory, and time; the frequency section mentions written variants, but the first screen does not directly answer the spelling query.","#semantic-evolution (broad; no #spelling)","Diagnosis blocked: query clicks, query-page pairing, and position are unknown. Metadata is strongly aligned, but there is a verified first-screen answer gap and no dedicated spelling anchor.","How do you spell forever?","Give one concise present-form answer, then distinguish the historical spaced form for ever from the later one-word form; label dates as secondary lexical-source attestations, not first human use.","src/data/generated/forever_dataset.json: prehistory records attestation-for-ever-late-14c-etymonline, attestation-for-ever-late-14c-wiktionary, attestation-forever-one-word-late-17c; frequency series forever and for-ever","Medium: do not turn secondary dates into definitive first-use claims or treat frequency as prescription.","P0","high","low","Hypothesis: a visible evidence-bounded spelling answer plus #spelling will increase qualified clicks if the page is already competitively positioned. Baseline is 63 impressions with query clicks and position unknown; compare exact query × /words/forever at 28 and 56 days by device and position band, and track landing on #spelling separately."
"spell forever","spell forever","orthography","forever / spelling","/words/forever","44","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The page visualizes forever and for ever, but no first-screen sentence directly answers how the current word is spelled.","#semantic-evolution (broad; no #spelling)","Diagnosis blocked: position and query clicks are unknown. Title match is strong; verified mismatch is answer placement, not proven snippet weakness.","How do you spell forever?","Reuse the canonical #spelling answer rather than create a thin page; make the current form and historical variant visible in server-rendered text.","src/data/generated/forever_dataset.json: prehistory and frequency variant records","Medium: avoid a universal prescriptive claim across all historical contexts.","P0","high","low","Hypothesis: one canonical spelling answer serving both spelling queries will improve qualified clicks without query-fragment pages. Compare exact query × page metrics at 28/56 days, segmented by device and position; do not attribute CTR movement when ranking distribution changes materially."
"is forever one word","is forever one word","orthography comparison","forever / one word versus two","/words/forever","unknown","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","Historical variants are present in the visualization and evidence archive, but the page has no direct one-word-versus-two-words answer.","#semantic-evolution (broad; no #spelling)","Demand and ranking are unknown because no row-level export exists. Intent is represented in metadata, while the visible answer and stable anchor are missing.","Is forever one word or two?","Answer from the attestation layer: distinguish contemporary one-word use from the historically attested spaced form, and link both claims to evidence records.","src/data/generated/forever_dataset.json: prehistory records and forever / for-ever series","Medium: avoid saying the spaced form is simply wrong or asserting an unverified first date.","P1","high","low","Hypothesis: a shared #spelling section will earn qualified impressions for one-word-versus-two-word variants and improve post-click usefulness. Establish exact query × page baseline, then compare at 28/56 days by device and position band."
"for ever or forever","for ever or forever","orthography comparison","forever / one word versus two","/words/forever","unknown","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The frequency chart includes forever and for ever, yet their relationship is not summarized as a visible answer near the top.","#semantic-evolution (broad; no #spelling)","Ranking and demand are unknown. The evidence exists, but the answer currently depends on interpreting a client visualization.","For ever or forever: what changed?","Explain form variation across the attestation and frequency layers; explicitly state that printed-book visibility is not first attestation and that the chart does not prescribe all usage.","src/data/generated/forever_dataset.json: sourceLayers, coverage, prehistory, frequency","Medium: corpus visibility cannot establish a universal spelling rule.","P1","high","low","Hypothesis: server-rendered variant context under #spelling will improve query relevance and mobile usefulness. Measure exact query × page impressions/clicks/CTR/position at 28/56 days and compare mobile versus desktop."
"what is the meaning of the word forever?","what is the meaning of the word forever","definition / research interpretation","forever / definition","/words/forever","31","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The hero describes permanence, repetition, devotion, memory, and time; the conclusion says uses vary across devotional contexts, vows, elegies, and everyday excess. It deliberately does not provide a generic dictionary definition.","none for direct answer; closest #semantic-evolution","Diagnosis blocked: query clicks and position are unknown. There is partial intent alignment, but a generic-definition query risks mismatch with a source-led research page; the answer boundary must be explicit.","What does forever mean in this study?","Give a concise research-scoped answer about the observed duration/permanence uses and semantic groupings, followed by a caveat that it is not a universal dictionary definition.","src/data/generated/forever_dataset.json: categories, phrases, collocates, snippets, ledger; src/components/ForeverPoster.tsx narrative conclusion","High: a generic definition would exceed the project's evidence and collapse multiple observed uses.","P0","high","low","Hypothesis: clearly labeling a source-bounded answer as this study's finding will reduce intent mismatch and improve qualified clicks/post-click usefulness. Baseline is 31 impressions; compare exact query × page at 28/56 days, reviewing position and device before interpreting CTR."
"forever origin","forever origin","etymology / origin","forever / origin","/words/forever","unknown","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The page exposes late-14th-century spaced-form records and a later one-word record in the archive, but no concise origin answer is visible near the top.","#evidence-archive (no #origin)","Demand and position are unknown. Metadata promises origin, while the answer is buried in the archive and based on secondary lexical sources.","Where does forever come from?","Summarize only the supported form history; show source type, confidence, and the absence of a comparable pre-1700 project corpus. Do not assert ultimate origin beyond the records.","src/data/generated/forever_dataset.json: prehistory.coverage, prehistory.records, investigatedSources","High: current evidence is secondary and lacks project-owned early quotation verification.","P1","high","low","Hypothesis: a cautious #origin answer will improve relevance and citation potential for origin queries. Establish query × page baseline and compare 28/56-day metrics; audit cited-source clicks and copied section links as supporting, not ranking, evidence."
"forever etymology","forever etymology","etymology","forever / etymology","/words/forever","18","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The evidence archive contains lexical-source form dates and caveats, but the first screen has no direct etymology answer.","#evidence-archive (no #origin)","Diagnosis blocked: no position or query clicks. Title is aligned; verified gap is that the source-bounded answer is not visible and no stable etymology/origin anchor exists.","What does the evidence show about forever's etymology?","Explain the spaced-to-one-word form history using named evidence records and disclose secondary-source confidence and unresolved early-print verification.","src/data/generated/forever_dataset.json: prehistory records and investigatedSources","High: do not promote lexical-source dates to definitive earliest use.","P0","high","low","Hypothesis: a direct caveated #origin answer will improve qualified clicks at stable positions and make the section more citable. Baseline is 18 impressions; compare exact query × page at 28/56 days by device and position band."
"forever meaning over time","forever meaning over time","semantic history","forever / semantic change","/words/forever","unknown","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The page traces spelling drift, devotion, vows, memory, archives, and modern permanence claims across multiple figures; the summary is broad rather than query-shaped.","#semantic-evolution","Ranking and demand are unknown. The route is strongly aligned, but the semantic-change conclusion is separated from the first screen and lacks a dedicated #meaning-over-time anchor.","How has forever's meaning changed over time?","Synthesize the attestation, frequency, archival context, collocates, and modern snapshot without treating category recurrence as a stable definition or causal chronology.","src/data/generated/forever_dataset.json: sourceLayers, eras, phrases, collocates, categories, snippets, modernContext","High: semantic grouping is interpretive and the historical and modern corpora are not directly comparable.","P1","high","medium","Hypothesis: an anchored source-layer synthesis will improve qualified impressions and citation potential for semantic-history queries. Capture exact query × page baseline, then compare 28/56-day metrics and section-link shares."
"forever digital permanence","forever digital permanence","conceptual / contemporary interpretation","forever / digital permanence","/words/forever","unknown","unknown","unknown","unknown","Forever Spelling, Meaning, and Origin | Words Over Time","The page frames modern forever as a promise made by institutions, archives, and platforms and keeps those permanence claims under suspicion.","#permanence-under-suspicion","The content is aligned, but no direct summary defines the claim boundary; demand and ranking are unknown.","What does forever promise in digital systems?","State that the study examines institutional and platform permanence claims, not proof that digital records are permanent; connect the answer to the modern 2024-2026 snapshot and archive caveats.","src/components/ForeverPoster.tsx #permanence-under-suspicion; src/data/generated/forever_dataset.json: modernContext and sourceLayers","High: do not claim platforms guarantee permanence or generalize a small modern snapshot.","P1","high","low","Hypothesis: a visible caveated answer at the existing anchor will improve post-click usefulness and section citation. Establish exact query × page baseline; compare 28/56-day query metrics and copied section links."
"privacy etymology","privacy etymology","etymology","privacy / etymology","/words/privacy","50","unknown","unknown","unknown","Privacy Etymology and Meaning Over Time | Words Over Time","The hero traces private life and secrecy into legal and data systems; the first section covers a 1200-1890 pre-rights field, but no direct etymology answer or evidence confidence appears near the top.","#chart-1-semantic-weather (no #etymology)","Diagnosis blocked: query clicks, query-page pairing, and position are unknown. Title match is strong; verified gap is the missing direct, confidence-labelled answer and stable etymology anchor.","What is the etymology of privacy?","Summarize privacy/private/privy root-family evidence only from the processed etymology layer; state that the report has 0 high-confidence and 27 medium-confidence records and distinguish related forms from the target noun.","docs/research/privacy/processed/privacy_etymology_early_usage_processed.json; docs/research/privacy/reports/privacy_etymology_early_usage_data_report.md","High: candidate dates and related forms must not become a definitive origin claim.","P0","high","low","Hypothesis: a visible evidence-confidence answer plus #etymology will improve qualified clicks if ranking is competitive. Baseline is 50 impressions; compare exact query × /words/privacy at 28/56 days by device and position band, and track section-link use."
