source_name,source_type,access_status,source_url,terms_checked,result,notes
Existing Chart 4 Ngram package,corpus_result,accessed,docs/research/artificial/chart_04_suspicion_distance/,all first-round Chart 4 groups,Used as 1800-2019 baseline; not rerun.,Read data availability and non-Ngram source queue.
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artificial,artificial,"Secondary etymology separates not-natural/spontaneous, made by human skill, imitation/substitute, fictitious/not genuine, and affected/insincere chronology.",Use as chronology pointer. OED or primary quotations are still needed for final dating.
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artificiality,artificiality,"Records artificiality as appearance of art and insincerity, with artificialness earlier.","Good pre-1800 abstract-noun support, but still secondary."
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artifice,artifice,"Frames artifice as workmanship/making by craft or skill, with crafty device/trick developing later.","Useful art-family bridge, not a direct artificial usage."
Johnson via Definitions.net,historical_dictionary,indirect_only,https://www.definitions.net/definition/artificial,artificial,"Indirect Johnson-attributed entry separates made-by-art/not-natural, fictitious/not-genuine, and artful/contrived-with-skill senses.",Direct Johnson entry still needs manual verification before final claims.
Webster 1828,historical_dictionary,accessed,https://webstersdictionary1828.com/Dictionary/artificial,artificial,Checkpoint dictionary separates made/contrived by art in opposition to natural from feigned/fictitious/not genuine.,"Useful as checkpoint only, not origin."
Merriam-Webster,modern_dictionary,accessed,https://www.merriam-webster.com/dictionary/artificial,artificial,"Modern entry keeps made-by-humans and not-genuine/sincere senses, including artificial smile.",Good modern sense split. Not historical attestation proof.
Britannica Dictionary,modern_dictionary,accessed,https://www.britannica.com/dictionary/artificial,artificial,"Modern learner entry includes not natural/real, created by people, and not sincere senses; examples include no artificial colors/flavors/sweeteners and artificial smile.",Useful for modern live-sense inventory.
Cambridge Thesaurus,modern_dictionary,accessed,https://dictionary.cambridge.org/us/thesaurus/articles/made-by-humans,artificial; synthetic; fake; false; imitation; man-made,Thesaurus distinguishes artificial as human-made/copying nature from natural/real and from fake/false/imitation/bogus.,"Useful for semantic distance review, not frequency."
Bailey Universal Etymological English Dictionary,historical_dictionary,search_only,https://books.google.com/books/about/An_universal_etymological_English_dictio.html?id=UeUIAAAAQAAJ,artificial,"Google Books records for Bailey editions were found, but no stable artificial entry extract was captured.",Needs manual page inspection or scan download.
