id,term_or_phrase,primary_layer,function_mode,source_period,year_or_period,source_name,source_type,source_url,evidence_kind,confidence,short_summary,chart05_relevance,current_relevance,speculative_status,notes
E001,artificial respiration,2,support,modern_reference,MeSH current; historical subheading available,"NCBI MeSH: Respiration, Artificial",medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68012121,definition,high,Defines artificial respiration as mechanical or non-mechanical methods that force air into and out of the lungs; entry terms include mechanical ventilation.,high,modern_established,established_term,Strong Layer 2 support anchor; semantic mode is sustain/maintain breathing.
E002,mechanical ventilation,2,support,modern_reference,"MeSH entry term under Respiration, Artificial","NCBI MeSH: Respiration, Artificial",medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68012121,entry_term,high,Mechanical ventilation appears as an entry term under artificial respiration.,high,modern_established,established_term,Bridge anchor from older artificial respiration to modern life-support technology.
E003,artificial feeding,2,support,modern_reference,MeSH current,NCBI MeSH: Nutritional Support,medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68018529,entry_term,high,"MeSH lists Artificial Feeding and Feeding, Artificial as entry terms for nutritional support.",high,modern_established,established_term,Supports Layer 2 as artificial sustaining necessary bodily intake.
E004,artificial feeding,2,support,modern_reference,2022 update,NCBI Bookshelf: Enteral Feeding,medical_reference,https://www.ncbi.nlm.nih.gov/books/NBK532876/,context_signal,high,Describes artificial nutrition as providing or supplementing daily metabolic requirements when oral feeding is inadequate or contraindicated.,high,modern_established,established_term,Good support-mode language for the layer label.
E005,artificial life support,2,support,modern_reference,MeSH current; introduced 1978,NCBI MeSH: Life Support Care,medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68008020,definition,high,Defines life support care as extraordinary therapeutic measures to sustain and prolong life.,high,modern_established,established_term,Anchor for artificial keeps life going; phrase 'artificial life support' itself still needs phrase-source review.
E006,artificial limb,3,replacement,modern_reference,MeSH current,NCBI MeSH: Artificial Limbs,medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68001186,definition,high,"Defines artificial limbs as prosthetic replacements for arms, legs, and parts thereof.",high,modern_established,established_term,Clean Layer 3 replacement anchor.
E007,artificial limb,3,replacement,modern_reference,MedlinePlus current,MedlinePlus: Artificial Limbs,medical_reference,https://medlineplus.gov/artificiallimbs.html,context_signal,high,Explains artificial limbs as prostheses that can replace missing arms or legs and help perform daily activities.,high,modern_established,established_term,Useful plain-language source for replacement/restoration.
E008,artificial heart,3,replacement,modern_reference,MeSH introduced 1967,"NCBI MeSH: Heart, Artificial",medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/D006354,definition,high,Defines an artificial heart as a pumping mechanism duplicating natural heart output/rate/pressure and replacing all or part of heart function.,high,modern_established,established_term,Strong Layer 3 organ-function replacement anchor.
E009,artificial kidney,3,replacement,modern_reference,MeSH previous indexing 1966,NCBI MeSH: Renal Dialysis,medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68006435,entry_history,high,"Renal dialysis entry notes previous indexing under Kidney, Artificial in 1966.",high,modern_established,established_term,Strong historical anchor for artificial kidney as replacement therapy context.
E010,artificial organs,3,replacement,modern_reference,Journal start 1977,NLM Catalog: Artificial organs,medical_catalog,https://www.ncbi.nlm.nih.gov/nlmcatalog/7802778,publication_anchor,medium,NLM catalog records a MEDLINE-indexed journal titled Artificial Organs starting in 1977.,medium,modern_established,established_term,Shows field-level consolidation; not a definition by itself.
