year,term,value,query_group,source,corpus,smoothing,case_sensitive
1800,artificial,0.000014720395384415497,core_term,Google Books Ngram Viewer,en,0,false
1801,artificial,0.00001617228807049287,core_term,Google Books Ngram Viewer,en,0,false
1802,artificial,0.00001679466745940772,core_term,Google Books Ngram Viewer,en,0,false
1803,artificial,0.000011306018336654233,core_term,Google Books Ngram Viewer,en,0,false
1804,artificial,0.00001211725715677403,core_term,Google Books Ngram Viewer,en,0,false
1805,artificial,0.000014418483452516284,core_term,Google Books Ngram Viewer,en,0,false
1806,artificial,0.00001576067798225722,core_term,Google Books Ngram Viewer,en,0,false
1807,artificial,0.000018157299194854204,core_term,Google Books Ngram Viewer,en,0,false
1808,artificial,0.000014920752754221667,core_term,Google Books Ngram Viewer,en,0,false
1809,artificial,0.000014477631182785444,core_term,Google Books Ngram Viewer,en,0,false
1810,artificial,0.000016888607746068374,core_term,Google Books Ngram Viewer,en,0,false
1811,artificial,0.000012553627968259207,core_term,Google Books Ngram Viewer,en,0,false
1812,artificial,0.00001083046194594317,core_term,Google Books Ngram Viewer,en,0,false
1813,artificial,0.000015810772268309847,core_term,Google Books Ngram Viewer,en,0,false
1814,artificial,0.000012222239206494123,core_term,Google Books Ngram Viewer,en,0,false
1815,artificial,0.00001544607571446477,core_term,Google Books Ngram Viewer,en,0,false
1816,artificial,0.000013094824510062608,core_term,Google Books Ngram Viewer,en,0,false
1817,artificial,0.000015500447545946372,core_term,Google Books Ngram Viewer,en,0,false
1818,artificial,0.000015378879481886543,core_term,Google Books Ngram Viewer,en,0,false
1819,artificial,0.000023677094759477768,core_term,Google Books Ngram Viewer,en,0,false
1820,artificial,0.000015126426006872862,core_term,Google Books Ngram Viewer,en,0,false
1821,artificial,0.000015772047547102375,core_term,Google Books Ngram Viewer,en,0,false
1822,artificial,0.000016539561912054523,core_term,Google Books Ngram Viewer,en,0,false
1823,artificial,0.000015691450471422286,core_term,Google Books Ngram Viewer,en,0,false
1824,artificial,0.000015156023039253341,core_term,Google Books Ngram Viewer,en,0,false
1825,artificial,0.00001583062629606502,core_term,Google Books Ngram Viewer,en,0,false
1826,artificial,0.000015986497757580764,core_term,Google Books Ngram Viewer,en,0,false
1827,artificial,0.000015967454032761452,core_term,Google Books Ngram Viewer,en,0,false
1828,artificial,0.00001649312305573858,core_term,Google Books Ngram Viewer,en,0,false
1829,artificial,0.000017317022951601757,core_term,Google Books Ngram Viewer,en,0,false
1830,artificial,0.00001810035207938654,core_term,Google Books Ngram Viewer,en,0,false
1831,artificial,0.000014197662338233386,core_term,Google Books Ngram Viewer,en,0,false
1832,artificial,0.000014134368825580168,core_term,Google Books Ngram Viewer,en,0,false
1833,artificial,0.000016814596577319207,core_term,Google Books Ngram Viewer,en,0,false
1834,artificial,0.00001592171638264972,core_term,Google Books Ngram Viewer,en,0,false
1835,artificial,0.000018217910579210184,core_term,Google Books Ngram Viewer,en,0,false
1836,artificial,0.000015048030192588158,core_term,Google Books Ngram Viewer,en,0,false
1837,artificial,0.000017299411155136113,core_term,Google Books Ngram Viewer,en,0,false
1838,artificial,0.00001630599726354376,core_term,Google Books Ngram Viewer,en,0,false
1839,artificial,0.000017370166844443702,core_term,Google Books Ngram Viewer,en,0,false
1840,artificial,0.000016423347787508646,core_term,Google Books Ngram Viewer,en,0,false
1841,artificial,0.000017574988248725276,core_term,Google Books Ngram Viewer,en,0,false
1842,artificial,0.000019013380949672865,core_term,Google Books Ngram Viewer,en,0,false
1843,artificial,0.000017950594099147565,core_term,Google Books Ngram Viewer,en,0,false
1844,artificial,0.000019570482805875145,core_term,Google Books Ngram Viewer,en,0,false
1845,artificial,0.00001895644754768,core_term,Google Books Ngram Viewer,en,0,false
1846,artificial,0.000017970090425478702,core_term,Google Books Ngram Viewer,en,0,false
1847,artificial,0.000018223333256628393,core_term,Google Books Ngram Viewer,en,0,false
1848,artificial,0.000018961539524298132,core_term,Google Books Ngram Viewer,en,0,false
1849,artificial,0.000017718314410331004,core_term,Google Books Ngram Viewer,en,0,false
1850,artificial,0.00001862863001633741,core_term,Google Books Ngram Viewer,en,0,false
1851,artificial,0.000020777567301955013,core_term,Google Books Ngram Viewer,en,0,false
