term,query_group,status,first_nonzero_year,last_nonzero_year,peak_year,peak_value,recent_year,recent_value,nonzero_year_count,notes
artificial,core_term,collected,1800,2019,1929,0.00002587142388152386,2019,0.000020799102985968876,220,
artificially,core_term,collected,1800,2019,1934,0.000003026916651549527,2019,0.0000020489062548811887,220,
artifice,core_term,collected,1800,2019,1806,0.000006890097710154919,2019,8.364966128660001e-7,220,
artificer,core_term,collected,1800,2019,1806,0.0000015942881752550875,2019,1.628657062546779e-7,220,
synthetic,core_term,collected,1800,2019,1944,0.00003344865218971038,2019,0.000012008355844181362,220,
fake,core_term,collected,1800,2019,1800,0.00002423141073037982,2019,0.000012299913208835278,220,
man-made,core_term,missing,,,,0,,,0,No row returned by Google Ngram for this query.
human-made,core_term,missing,,,,0,,,0,No row returned by Google Ngram for this query.
machine-made,core_term,missing,,,,0,,,0,No row returned by Google Ngram for this query.
simulated,core_term,collected,1800,2019,1995,0.00001078187738889902,2019,0.0000073421319909117155,220,
artificial light,priority_phrase,collected,1800,2019,1915,0.0000011942825789978961,2019,2.9730234510361164e-7,220,
artificial flowers,priority_phrase,collected,1800,2019,1851,9.99266454471126e-7,2019,5.95658081886663e-8,220,
artificial teeth,priority_phrase,collected,1800,2019,1862,0.0000014909941220553335,2019,2.039793753350061e-8,220,
artificial limb,priority_phrase,collected,1800,2019,1918,5.622288016815524e-7,2019,2.8394312179269576e-8,216,
artificial respiration,priority_phrase,collected,1800,2019,1890,9.017490214535684e-7,2019,9.049789162496324e-8,215,
artificial selection,priority_phrase,collected,1804,2019,1996,1.6560275106769495e-7,2019,1.1989773696097217e-7,190,
artificial insemination,priority_phrase,collected,1823,2019,1953,0.000001090718884655395,2019,3.2344616509444313e-7,160,
artificial silk,priority_phrase,collected,1804,2019,1929,0.000004645318360169126,2019,2.4946772675393802e-8,176,
artificial leather,priority_phrase,collected,1800,2019,1930,3.301962151758264e-7,2019,1.259309324180835e-8,197,
artificial sweetener,priority_phrase,collected,1832,2019,1977,9.088238042687102e-8,2019,5.1425788197279054e-8,129,
artificial color,priority_phrase,collected,1800,2019,1908,1.526615980296242e-7,2019,5.793780455398689e-9,191,
artificial colour,priority_phrase,collected,1800,2019,1854,2.9216543850907328e-8,2019,2.2983591072001097e-9,218,
artificial intelligence,priority_phrase,collected,1802,2019,2019,0.0000060785856142303585,2019,0.0000060785856142303585,137,
artificial neural network,priority_phrase,collected,1900,2019,2019,6.694915249960687e-7,2019,6.694915249960687e-7,71,
artificial life,priority_phrase,collected,1800,2019,1998,2.887080971930578e-7,2019,1.7161081533600964e-7,220,
artificial language,priority_phrase,collected,1800,2019,1827,7.859890516215273e-8,2019,5.602250346958826e-8,220,
artificial day,secondary_phrase,collected,1800,2019,1810,1.587876994335602e-7,2019,2.250476749399155e-9,220,
artificial heart,secondary_phrase,collected,1800,2019,1986,3.7310356270497946e-7,2019,1.3019246969392384e-7,165,
artificial kidney,secondary_phrase,collected,1845,2019,1968,3.8543707137073113e-7,2019,3.9167870891088086e-8,120,
artificial breeding,secondary_phrase,collected,1809,2019,1953,5.908405280863338e-7,2019,1.034261627036459e-8,203,
artificial fertilization,secondary_phrase,collected,1806,2019,1888,5.379386491810578e-8,2019,1.2832505641435787e-8,189,
artificial incubation,secondary_phrase,collected,1800,2019,1924,1.0664498016621504e-7,2019,3.1602438860245385e-9,205,
artificial feeding,secondary_phrase,collected,1801,2019,1924,3.7292623959739313e-7,2019,3.447538755169122e-8,205,
artificial rubber,secondary_phrase,collected,1832,2019,1942,1.5329053895674072e-7,2019,6.607782501721893e-9,156,
artificial fibre,secondary_phrase,collected,1832,2019,1963,4.052877278226674e-8,2019,2.7293015972262857e-9,134,
artificial fiber,secondary_phrase,collected,1879,2019,1958,4.1617292723117316e-8,2019,2.2025942528203224e-9,130,
artificial flavor,secondary_phrase,collected,1809,2019,1911,8.262481010490319e-8,2019,7.278137426069975e-9,161,
artificial flavour,secondary_phrase,collected,1815,2019,1824,6.679261588260488e-9,2019,1.5801219221955876e-9,181,
artificial ingredients,secondary_phrase,collected,1812,2019,2016,2.927097131344425e-8,2019,2.398912374301787e-8,158,
artificial vision,secondary_phrase,collected,1804,2019,1994,4.163001887658169e-8,2019,2.6287483315123872e-8,152,
artificial consciousness,secondary_phrase,collected,1859,2019,2018,1.729731094121667e-8,2019,1.4412627098725483e-8,97,
artificial general intelligence,secondary_phrase,collected,1900,2019,2019,5.514664469519204e-8,2019,5.514664469519204e-8,20,
artificial creativity,secondary_phrase,collected,1900,2019,2008,3.6693581506597184e-9,2019,2.442006652447759e-9,48,
artificial voice,secondary_phrase,collected,1801,2019,1944,1.7027577181583098e-8,2019,8.906141775455456e-9,203,
artificial companion,secondary_phrase,collected,1874,2019,2016,1.6186711970789247e-9,2019,1.1012970535517752e-9,43,
artificial womb,secondary_phrase,collected,1832,2019,2007,1.6204370290040515e-8,2019,1.1108736375220474e-8,96,
artificial agent,test_term,collected,1800,2019,2011,2.1339497953409836e-8,2019,1.7285576872638764e-8,175,Low-priority test term.
artificial image,test_term,collected,1802,2019,1821,4.273492493211961e-8,2019,7.469667169524019e-9,203,Low-priority test term.
natural,test_term,collected,1800,2019,1819,0.00016718960409889405,2019,0.0001279747677110643,220,Low-priority broad/noisy test term.
