phrase,year,title,author,source_url,short_paraphrase,sense,confidence,chart_01_status,notes
artificial day,late medieval claimed; 1755 secondary Johnson; 1800 Ngram visible,Etymonline artificial; Johnson secondary transcription,Douglas Harper; Samuel Johnson via secondary transcription,https://www.etymonline.com/word/artificial,"Artificial day is the daylight span from sunrise to sunset, contrasted with a full natural day.",technical_rule_reckoning,medium,supporting_anchor,Needs OED or primary quotation before public-facing core use.
artificial memory,classical/medieval tradition; English chronology unresolved,Rhetorica ad Herennium memory passage,Anonymous classical rhetorical text,https://www.laits.utexas.edu/memoria/Ad_Herennium_Passages.html,"Artificial memory is memory strengthened by training, discipline, and method.",technical_rule_reckoning,medium,supporting_anchor,Good learned-technique support; not an English earliest-use anchor.
artificial arguments,1828,Webster 1828 artificial,Noah Webster,https://webstersdictionary1828.com/Dictionary/artificial,"Rhetorical arguments invented by the speaker, not external proofs such as laws or authorities.",technical_rule_reckoning,high,supporting_anchor,Strong technical-rhetorical evidence but specialized.
artificial lines,1828,Webster 1828 artificial,Noah Webster,https://webstersdictionary1828.com/Dictionary/artificial,Lines on a scale/sector contrived to represent logarithmic sines and tangents for calculation.,technical_rule_reckoning,high,supporting_anchor,Strong rule/calculation evidence.
artificial numbers,1828,Webster 1828 artificial,Noah Webster,https://webstersdictionary1828.com/Dictionary/artificial,Artificial numbers are logarithms.,technical_rule_reckoning,high,supporting_anchor,Compact technical evidence.
artificial method,1800-2019 Ngram only,Ngram visibility from previous pass,Google Books,https://books.google.com/ngrams/,Visibility exists but sense is not confirmed in this source-completion pass.,unclear_or_unusable,low,background_only,Do not use without snippet review.
made by art,1828,Webster 1828 artificial and factitious,Noah Webster,https://webstersdictionary1828.com/Dictionary/artificial,Definition language directly places artificial in made-by-art / human skill territory.,art_skill_making,high,supporting_anchor,"Useful as definition evidence, not a standalone phrase history."
made by skill,1800-2019 Ngram only,Ngram visibility from previous pass,Google Books,https://books.google.com/ngrams/,Generic phrase visibility; no strong Chart 1-specific snippet found.,art_skill_making,low,background_only,Too generic.
human skill,1828,Webster 1828 artificial,Noah Webster,https://webstersdictionary1828.com/Dictionary/artificial,Artificial is defined through human skill/labor opposed to natural.,art_skill_making,high,supporting_anchor,Good paraphrase support.
contrived by art,1828,Webster 1828 artificial,Noah Webster,https://webstersdictionary1828.com/Dictionary/artificial,Contrived by art supports construction/contrivance sense rather than fake by itself.,contrivance_construction,high,background_only,Useful but risky if overemphasized.
by art and human skill,1828,Webster 1828 artificial,Noah Webster,https://webstersdictionary1828.com/Dictionary/artificial,"The phrase captures the main source-backed boundary: by art/human skill, not necessarily fake.",art_skill_making,high,supporting_anchor,Use carefully as paraphrase unless exact wording is checked.
