source_name,url,access_status,checked_for,result,limitation
Oxford English Dictionary,,not_accessible,artificial; artifice; artificer,,Subscription source not accessed in this environment.
Middle English Dictionary,https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary,search_only,artificial; artifice; artificer,No stable direct entry found through web search in this pass.,Search did not surface exact relevant entries; deeper MED interface work may be needed.
Etymonline,https://www.etymonline.com/word/artificial,accessed,artificial; artificially; artifice; artificer; art; artifact; artisan,artificial; artificially; artifice; artificer; art; artifact; artisan,Secondary etymology; dates and sense order need OED/primary confirmation before final copy.
Webster 1828,https://webstersdictionary1828.com/Dictionary/artificial,accessed,artificial; art; artifice; artificer; artless; factitious,artificial; art; artifice; artificer; artless; factitious,"A nineteenth-century checkpoint, not earliest evidence."
Johnson's Dictionary Online,,partially_accessed,artificial; artifice; artificer,Search interface accessible; direct stable term pages not captured.,Interface/search output not stable enough for direct extraction here.
Johnson via Definitions.net,https://www.definitions.net/definition/artifice,accessed,artificial; artifice; factitious,artifice; factitious; artificial secondary transcription referenced from previous pass,Secondary transcription; do not treat as direct Johnson proof.
Century Dictionary via Wordnik,https://www.wordnik.com/words/artificial,accessed,artificial; artifact,artificial; artifact,Wordnik reproduces Century text but is not the original scan.
Century / Webster via FineDictionary,,accessed,artificial; artifice; artifact,artificial; artifice; artifact,Secondary dictionary aggregation; use as corroboration only.
Worcester Dictionary,,search_only,artificial; artifice,No stable direct extract found in this pass.,Not enough accessible text found quickly.
Imperial Dictionary,,search_only,artificial; artifice,No stable direct extract found in this pass.,Not enough accessible text found quickly.
Webster 1913 / Collaborative International Dictionary,,accessed,artificial; artificially; artifice,artificial; artificially; artifice,Later than Webster 1828; often derivative of earlier dictionary tradition.
Merriam-Webster,https://www.merriam-webster.com/dictionary/artificial,accessed,artificial; artifice; artificer; art,artificial; artifice; artificer; art,Modern dictionary; not early quotation evidence.
Cambridge Dictionary,,accessed,artificial,artificial,Modern learner source only.
Oxford Learner's Dictionary,,accessed,artificial,artificial,Modern learner source only.
Collins via WordReference,,accessed,artificial,artificial,Modern dictionary aggregation page.
Wiktionary,,accessed,artificer; artificial,artificer; artificial,Community-edited; use only as backup/source pointer.
Rhetorica ad Herennium memory passage,,accessed,artificial memory,artificial memory concept,"Conceptual/rhetorical tradition source, not English lexical first-use evidence."
