question,previous_status,updated_status,strongest_support,remaining_risk,ready_for_visual_planning,notes
Does artificial have early negative potential?,mostly_ready,mostly_ready,Etymonline; artificial tears; artificial manners; Johnson indirect; Webster checkpoint,OED/direct Johnson unavailable,mostly_yes,"Enough for planning with caveat, not final dating."
Is affected/insincere evidence strong enough?,mostly_ready,mostly_ready,Wollstonecraft artificial manners; artificiality lexical evidence,Need more artificial smile/expression examples,mostly_yes,"Good domain lane, still thin in breadth."
Is false emotion evidence strong enough?,partial,partial,Shakespeare artificial tears,Still mainly one strong source,uncertain,"Keep as support, not sole lane."
Is there a usable 1850_1900 transition?,not_ready,mostly_ready,FDA synthetic color history; Scientific American 1898 lead; 1893 adulteration context,Need more direct artificial food phrase examples,mostly_yes,The gap is now usable.
Is there enough continuity from 1900 to 2026?,partial,mostly_ready,1904 food coloring; 1950 no artificial flavoring; 1969 sweetener; 2015 brand removals; 2025/2026 sources,1980s/1990s still thin,mostly_yes,Continuity is much stronger.
Is absence claim evidence strong enough?,mostly_ready,ready,1950 ad; 2015 reformulations; FDA 2026; Kraft 2025; Gatorade/Swanson,Product pages can change,yes,Strongest Chart 4A domain.
Is early_split_then_reactivation defensible?,partial,mostly_ready,Early negative evidence plus later absence/reformulation evidence,OED/direct Johnson,mostly_yes,Best-supported trajectory model.
Is domain_transfer defensible?,partial,mostly_ready,Social/emotional -> food/coloring -> additive/sweetener -> no-artificial/clean-label chain,More mid-century examples would help,mostly_yes,Now defensible as a planning hypothesis.
Is spiral_accumulation plausible enough to mention?,partial,partial,Recurring not-genuine/not-natural/avoidance logic in new domains,Still interpretive,uncertain,Mention cautiously if used.
Can Chart 4A be planned visually now?,not_ready,mostly_ready,Period anchors now cover pre_1800 through 2019_2026,Final claims still need manual quote verification and OED/direct Johnson if dating is shown,mostly_yes,Ready for visual planning as long as claims stay cautious.
