id,term_or_phrase,focus_area,domain,source_period,year_or_period,source_name,source_type,source_url,evidence_kind,sense_or_usage,confidence,negative_charge,short_summary,chart4a_value,chart4b_value,gap_filled,needs_followup,notes
h001,artificial,lexical_authority,early_lexical_negative,pre_1800,late 14c.-1640s chronology,Etymonline,etymology_source,https://www.etymonline.com/word/artificial,definition,fake_not_genuine,medium,2,Secondary source distinguishes not-natural/made-by-art from affected/insincere and fictitious/not-genuine branches.,high,medium,partial,true,OED remains inaccessible.
h002,artificial,lexical_authority,fake_not_genuine,pre_1800,1755/1773 indirect transcription,Johnson via Definitions.net,historical_dictionary,https://www.definitions.net/definition/artificial,definition,fake_not_genuine,medium,2,Indirect Johnson evidence separates made-by-art/not-natural from fictitious/not-genuine and artful senses.,high,high,partial,true,Direct Johnson remains unresolved.
h003,artificial,lexical_authority,fake_not_genuine,1800_1850,1828 checkpoint,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,definition,fake_not_genuine,high,2,Checkpoint dictionary keeps made-by-art/not-natural distinct from feigned/fictitious/not-genuine.,medium,high,partial,false,Not an origin source.
h004,artificial coloring,gap_1850_1900,industrial_synthetic,1850_1900,1856-1898,FDA Color Additives History / Scientific American lead,regulatory_source,https://www.fda.gov/industry/color-additives/color-additives-history; https://www.scientificamerican.com/article/artificial-coloring-of-food-products/,context_signal,industrial_synthetic,medium_high,2,Synthetic dye and artificial food-coloring evidence gives the 1850-1900 period a usable industrial/food trust anchor.,high,low,yes,true,Scientific American page needs verification before quotation.
h005,adulteration; imitation; genuine,gap_1850_1900,processed_consumer,1850_1900,1893,Ann Arbor Register food adulteration item,newspaper_snippet,https://aadl.org/node/521746,context_signal,consumer_suspicion,medium,2,Food adulteration context adds nearby purity/genuine/imitation vocabulary to the 1850-1900 gap.,medium,medium,partial,true,Not an artificial phrase; use as context only.
h006,artificially colored,consumer_transition,processed_consumer,1900_1950,1904,Chronicling America food-coloring lead,newspaper_snippet,https://chroniclingamerica.loc.gov/lccn/sn86090233/1904-05-12/ed-1/seq-6/,context_signal,consumer_suspicion,medium,2,Early 1900s food-coloring item anchors consumer/purity suspicion around artificial coloring.,medium,low,partial,true,Retained from earlier round; still needs page review.
h007,no artificial flavoring,consumer_transition,absence_claim,1950_2000,1950,Kitchen Bouquet advertisement,advertising_snippet,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,advertising_claim,absence_claim,medium,4,Mid-century advertisement turns absence of artificial flavoring into positive trust/taste evidence.,high,medium,partial,true,Page image verification needed.
h008,artificial sweetener,consumer_transition,industrial_synthetic,1950_2000,1969-1976,JAMA / FDA / New Yorker cyclamate materials,secondary_literature,https://jamanetwork.com/journals/jama/fullarticle/349150; https://www.fda.gov/about-fda/fda-history/milestones-us-food-and-drug-law; https://www.newyorker.com/magazine/1969/11/01/comment-5253,context_signal,consumer_suspicion,medium,3,Artificial sweetener discourse anchors late-1960s additive scrutiny and reformulation language.,medium,low,partial,true,No health claim.
h009,remove artificial flavors/colors,consumer_transition,absence_claim,2000_2019,2015,Nestle / Kraft / General Mills reformulation announcements,web_snippet,https://www.nestleusa.com/media/pressreleases/nestle-usa-removing-artificial-flavors-colors-from-chocolate-candy; https://news.kraftheinzcompany.com/press-releases-details/2015/Kraft-Macaroni--Cheese-Announces-Recipe-Change/default.aspx; https://www.generalmills.com/news/press-releases/general-mills-cereals-commits-to-remove-artificial-flavors-and-colors-from-artificial-sources,context_signal,absence_claim,high,4,"Major food brands publicly announced removal of artificial flavors, colors, preservatives, or synthetic colors in 2015.",high,medium,yes,false,Strong pre-2019 continuity improvement.
h010,no artificial colors,modern_hardening,absence_claim,2019_2026,2026,FDA no artificial colors labeling materials,regulatory_source,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims; https://www.fda.gov/news-events/press-announcements/fda-takes-new-approach-no-artificial-colors-claims,regulatory_definition,absence_claim,high,4,FDA materials show no artificial colors as active modern labeling language.,high,medium,yes,false,Official source.
h011,remove FD&C colors,modern_hardening,absence_claim,2019_2026,2025,Kraft Heinz FD&C colors commitment,web_snippet,https://news.kraftheinzcompany.com/press-releases-details/2025/Kraft-Heinz-Commits-to-Remove-FDC-Colors-From-Its-U-S--Portfolio-Before-the-End-of-2027-and-Will-Not-Launch-New-Products-in-the-U-S--With-FDC-Colors-Effective-Immediately/default.aspx,context_signal,absence_claim,high,4,Kraft Heinz committed to remove certified colors from its U.S. portfolio and not launch new U.S. products with them.,high,medium,yes,false,Strong reformulation-away source.
h012,"no artificial flavors, sweeteners or colors",modern_hardening,absence_claim,2019_2026,2026,PepsiCo / Gatorade,packaging_claim,https://www.pepsico.com/en/newsroom/press-releases/2026/gatorade-lower-sugar-brings-a-new-era-of-hydration-with-no-artificial-flavors-sweeteners-or-colors,packaging_claim,absence_claim,high,4,"Gatorade launch copy foregrounds no artificial flavors, sweeteners, or colors.",high,medium,yes,false,Brand/product positioning.
h013,artificial vs fake / genuine / synthetic / imitation / natural,chart4b_bridge,semantic_distance_support,2019_2026,current dictionary/thesaurus,Cambridge / Oxford / WordReference / Merriam-Webster,modern_dictionary,https://dictionary.cambridge.org/us/thesaurus/articles/made-by-humans; https://www.oxfordlearnersdictionaries.com/definition/english/artificial; https://www.wordreference.com/definition/artificial; https://www.merriam-webster.com/dictionary/artificial,comparison_lead,semantic_distance,medium,1,"Dictionary and thesaurus sources distinguish artificial from fake, genuine, synthetic, imitation, real, and natural.",background,high,partial,true,Bridge only; Chart 4B still needs dedicated pass.
