source_name,url,access_status,checked_for,result,limitations
Johnson's Dictionary Online,https://johnsonsdictionaryonline.com/views/search.php?term=artificial,partially_accessed,artificial; artifice; artificer; artificially,"The public search interface is discoverable, but stable direct entry extraction was not captured in this pass.",Treat Johnson as indirect unless manually captured from the site or page scans.
Definitions.net Johnson transcription,https://www.definitions.net/definition/artificial,accessed_indirect,Johnson artificial senses,"Provides a Johnson-attributed artificial entry with separate made-by-art/not-natural, fictitious/not-genuine, and artful/contrived-with-skill senses.",Secondary transcription; useful but not direct Johnson evidence.
"Project Gutenberg: Shakespeare, Henry VI Part 3",https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,accessed,artificial tears,Pre-1828 literary evidence for artificial tears in a deception/feigned-emotion context.,"A literary usage example, not a dictionary sense tree."
Etymonline artificial,https://www.etymonline.com/word/artificial,accessed,not genuine; affected/insincere; artificial day,Gives pre-1828 claimed chronology for not-genuine and affected/insincere senses and the artificial-day early-use claim.,Secondary etymology source; OED needed for precise earliest quotations.
Webster 1828 artificial,https://webstersdictionary1828.com/Dictionary/artificial,accessed,checkpoint comparison,Separates made-by-art/not-natural from feigned/fictitious/not-genuine and gives artificial lines as a technical phrase.,"Checkpoint at 1828, not pre-1828 origin evidence."
Webster 1828 day,https://webstersdictionary1828.com/Home?word=day,accessed,artificial day checkpoint,Defines day between rising and setting of the sun as artificial day.,Checkpoint only; not pre-1828.
Reformed Books Online / Perkins excerpt,https://reformedbooksonline.com/topics/topics-by-subject/the-lords-day/when-does-the-lords-day-begin/,accessed_indirect,artificial day,Quotes William Perkins material dated 1606/early 1600s describing an artificial day as sunrise-to-sunset.,Modern collection/quotation; direct EEBO/scan check still preferable.
"Google Play Books: Edmund Gunter, Sector",https://play.google.com/store/books/details/Edmund_GUNTER_The_Description_and_Use_of_the_Secto?id=Q4C1qhHk2FEC,search_result_accessed,artificial lines,"1636 title metadata includes a canon of artificiall lines and tangents for astronomy, navigation, dialling, and fortification.",Title/metadata evidence; direct full-text extraction not captured.
Bailey / Ash / Sheridan / Walker historical dictionaries,,search_only,artificial negative senses,No stable direct extract useful enough to add beyond Johnson/Webster in this pass.,Can remain unresolved; do not keep broad-searching before content planning.
OED / MED,https://www.oed.com/,not_accessible,precise earliest dates; artificial day; negative senses,Not accessed.,Needed only for exact earliest-date/final-copy claims.
