year,term,value,source,corpus,smoothing,case_sensitive
1800,artificial,0.000014720395384415497,Google Books Ngram Viewer,en,0,false
1801,artificial,0.00001617228807049287,Google Books Ngram Viewer,en,0,false
1802,artificial,0.00001679466745940772,Google Books Ngram Viewer,en,0,false
1803,artificial,0.000011306018336654233,Google Books Ngram Viewer,en,0,false
1804,artificial,0.00001211725715677403,Google Books Ngram Viewer,en,0,false
1805,artificial,0.000014418483452516284,Google Books Ngram Viewer,en,0,false
1806,artificial,0.00001576067798225722,Google Books Ngram Viewer,en,0,false
1807,artificial,0.000018157299194854204,Google Books Ngram Viewer,en,0,false
1808,artificial,0.000014920752754221667,Google Books Ngram Viewer,en,0,false
1809,artificial,0.000014477631182785444,Google Books Ngram Viewer,en,0,false
1810,artificial,0.000016888607746068374,Google Books Ngram Viewer,en,0,false
1811,artificial,0.000012553627968259207,Google Books Ngram Viewer,en,0,false
1812,artificial,0.00001083046194594317,Google Books Ngram Viewer,en,0,false
1813,artificial,0.000015810772268309847,Google Books Ngram Viewer,en,0,false
1814,artificial,0.000012222239206494123,Google Books Ngram Viewer,en,0,false
1815,artificial,0.00001544607571446477,Google Books Ngram Viewer,en,0,false
1816,artificial,0.000013094824510062608,Google Books Ngram Viewer,en,0,false
1817,artificial,0.000015500447545946372,Google Books Ngram Viewer,en,0,false
1818,artificial,0.000015378879481886543,Google Books Ngram Viewer,en,0,false
1819,artificial,0.000023677094759477768,Google Books Ngram Viewer,en,0,false
1820,artificial,0.000015126426006872862,Google Books Ngram Viewer,en,0,false
1821,artificial,0.000015772047547102375,Google Books Ngram Viewer,en,0,false
1822,artificial,0.000016539561912054523,Google Books Ngram Viewer,en,0,false
1823,artificial,0.000015691450471422286,Google Books Ngram Viewer,en,0,false
1824,artificial,0.000015156023039253341,Google Books Ngram Viewer,en,0,false
1825,artificial,0.00001583062629606502,Google Books Ngram Viewer,en,0,false
1826,artificial,0.000015986497757580764,Google Books Ngram Viewer,en,0,false
1827,artificial,0.000015967454032761452,Google Books Ngram Viewer,en,0,false
1828,artificial,0.00001649312305573858,Google Books Ngram Viewer,en,0,false
1829,artificial,0.000017317022951601757,Google Books Ngram Viewer,en,0,false
1830,artificial,0.00001810035207938654,Google Books Ngram Viewer,en,0,false
1831,artificial,0.000014197662338233386,Google Books Ngram Viewer,en,0,false
1832,artificial,0.000014134368825580168,Google Books Ngram Viewer,en,0,false
1833,artificial,0.000016814596577319207,Google Books Ngram Viewer,en,0,false
1834,artificial,0.00001592171638264972,Google Books Ngram Viewer,en,0,false
1835,artificial,0.000018217910579210184,Google Books Ngram Viewer,en,0,false
1836,artificial,0.000015048030192588158,Google Books Ngram Viewer,en,0,false
1837,artificial,0.000017299411155136113,Google Books Ngram Viewer,en,0,false
1838,artificial,0.00001630599726354376,Google Books Ngram Viewer,en,0,false
1839,artificial,0.000017370166844443702,Google Books Ngram Viewer,en,0,false
1840,artificial,0.000016423347787508646,Google Books Ngram Viewer,en,0,false
1841,artificial,0.000017574988248725276,Google Books Ngram Viewer,en,0,false
1842,artificial,0.000019013380949672865,Google Books Ngram Viewer,en,0,false
1843,artificial,0.000017950594099147565,Google Books Ngram Viewer,en,0,false
1844,artificial,0.000019570482805875145,Google Books Ngram Viewer,en,0,false
1845,artificial,0.00001895644754768,Google Books Ngram Viewer,en,0,false
1846,artificial,0.000017970090425478702,Google Books Ngram Viewer,en,0,false
1847,artificial,0.000018223333256628393,Google Books Ngram Viewer,en,0,false
1848,artificial,0.000018961539524298132,Google Books Ngram Viewer,en,0,false
1849,artificial,0.000017718314410331004,Google Books Ngram Viewer,en,0,false
1850,artificial,0.00001862863001633741,Google Books Ngram Viewer,en,0,false
1851,artificial,0.000020777567301955013,Google Books Ngram Viewer,en,0,false
1852,artificial,0.000020963981626209716,Google Books Ngram Viewer,en,0,false
1853,artificial,0.000020601368646566698,Google Books Ngram Viewer,en,0,false
1854,artificial,0.000019970009248027054,Google Books Ngram Viewer,en,0,false
1855,artificial,0.000021078377699268458,Google Books Ngram Viewer,en,0,false
1856,artificial,0.000020069425659130502,Google Books Ngram Viewer,en,0,false
1857,artificial,0.000022811321287008468,Google Books Ngram Viewer,en,0,false
1858,artificial,0.00002103810891185276,Google Books Ngram Viewer,en,0,false
1859,artificial,0.00002040562253569078,Google Books Ngram Viewer,en,0,false
1860,artificial,0.000019798864855147258,Google Books Ngram Viewer,en,0,false
1861,artificial,0.000021241670538074686,Google Books Ngram Viewer,en,0,false
1862,artificial,0.00002361280451168568,Google Books Ngram Viewer,en,0,false
1863,artificial,0.000022476897015621944,Google Books Ngram Viewer,en,0,false
1864,artificial,0.000020353758827695856,Google Books Ngram Viewer,en,0,false
1865,artificial,0.00002033444661719841,Google Books Ngram Viewer,en,0,false
1866,artificial,0.000020641304104174196,Google Books Ngram Viewer,en,0,false
1867,artificial,0.000021776739572487713,Google Books Ngram Viewer,en,0,false
1868,artificial,0.0000200931144149763,Google Books Ngram Viewer,en,0,false
1869,artificial,0.000020948571088086343,Google Books Ngram Viewer,en,0,false
1870,artificial,0.00001992911256820662,Google Books Ngram Viewer,en,0,false
1871,artificial,0.000020174382939330826,Google Books Ngram Viewer,en,0,false
1872,artificial,0.00002146413503512079,Google Books Ngram Viewer,en,0,false
1873,artificial,0.00002122229629034078,Google Books Ngram Viewer,en,0,false
1874,artificial,0.00002148618165165317,Google Books Ngram Viewer,en,0,false
1875,artificial,0.00002095490403969391,Google Books Ngram Viewer,en,0,false
1876,artificial,0.000021831883657341677,Google Books Ngram Viewer,en,0,false
1877,artificial,0.000020682513991232554,Google Books Ngram Viewer,en,0,false
1878,artificial,0.000020826947888963332,Google Books Ngram Viewer,en,0,false
1879,artificial,0.00002100650203828991,Google Books Ngram Viewer,en,0,false
1880,artificial,0.000021502606841750094,Google Books Ngram Viewer,en,0,false
1881,artificial,0.000019645135058143914,Google Books Ngram Viewer,en,0,false
1882,artificial,0.000020075967530036598,Google Books Ngram Viewer,en,0,false
1883,artificial,0.000022291778286637198,Google Books Ngram Viewer,en,0,false
1884,artificial,0.00002152438360494835,Google Books Ngram Viewer,en,0,false
1885,artificial,0.00002072694742666359,Google Books Ngram Viewer,en,0,false
1886,artificial,0.000020609712180430506,Google Books Ngram Viewer,en,0,false
1887,artificial,0.000019549812981231596,Google Books Ngram Viewer,en,0,false
1888,artificial,0.000020155056282611383,Google Books Ngram Viewer,en,0,false
1889,artificial,0.00002083843304490074,Google Books Ngram Viewer,en,0,false
1890,artificial,0.000021034818058707216,Google Books Ngram Viewer,en,0,false
1891,artificial,0.00002061113752915844,Google Books Ngram Viewer,en,0,false
1892,artificial,0.000020513079334705253,Google Books Ngram Viewer,en,0,false
1893,artificial,0.000021136748046046705,Google Books Ngram Viewer,en,0,false
1894,artificial,0.000019702074723682017,Google Books Ngram Viewer,en,0,false
1895,artificial,0.000019840013237626408,Google Books Ngram Viewer,en,0,false
1896,artificial,0.000018916906489363505,Google Books Ngram Viewer,en,0,false
1897,artificial,0.00001928981205416569,Google Books Ngram Viewer,en,0,false
1898,artificial,0.000019193265188732767,Google Books Ngram Viewer,en,0,false
1899,artificial,0.000019058621886142157,Google Books Ngram Viewer,en,0,false
1900,artificial,0.00001904864607049639,Google Books Ngram Viewer,en,0,false
1901,artificial,0.00001869717838845486,Google Books Ngram Viewer,en,0,false
1902,artificial,0.000020563369957926625,Google Books Ngram Viewer,en,0,false
1903,artificial,0.00001921022936335337,Google Books Ngram Viewer,en,0,false
1904,artificial,0.000019929103473495524,Google Books Ngram Viewer,en,0,false
1905,artificial,0.000020392478234043665,Google Books Ngram Viewer,en,0,false
1906,artificial,0.000019893038163666665,Google Books Ngram Viewer,en,0,false
1907,artificial,0.00002095289474825235,Google Books Ngram Viewer,en,0,false
1908,artificial,0.000021648852396083385,Google Books Ngram Viewer,en,0,false
1909,artificial,0.000020596206760849223,Google Books Ngram Viewer,en,0,false
1910,artificial,0.000021759341962024337,Google Books Ngram Viewer,en,0,false
1911,artificial,0.000022428306450085478,Google Books Ngram Viewer,en,0,false
1912,artificial,0.00002155013517041171,Google Books Ngram Viewer,en,0,false
1913,artificial,0.000022182165375396468,Google Books Ngram Viewer,en,0,false
1914,artificial,0.000020584802820113046,Google Books Ngram Viewer,en,0,false
1915,artificial,0.00002000267477342277,Google Books Ngram Viewer,en,0,false
1916,artificial,0.00002003292229346698,Google Books Ngram Viewer,en,0,false
1917,artificial,0.00002096350728219426,Google Books Ngram Viewer,en,0,false
1918,artificial,0.000021668587919521087,Google Books Ngram Viewer,en,0,false
1919,artificial,0.000020932716264632223,Google Books Ngram Viewer,en,0,false
1920,artificial,0.000022277435052231453,Google Books Ngram Viewer,en,0,false
1921,artificial,0.000023007389154727775,Google Books Ngram Viewer,en,0,false
1922,artificial,0.000023074767109047822,Google Books Ngram Viewer,en,0,false
1923,artificial,0.000023820206259031473,Google Books Ngram Viewer,en,0,false
1924,artificial,0.000024116033935484005,Google Books Ngram Viewer,en,0,false
1925,artificial,0.000025414768322976067,Google Books Ngram Viewer,en,0,false
1926,artificial,0.00002498851256251683,Google Books Ngram Viewer,en,0,false
1927,artificial,0.00002445149006292252,Google Books Ngram Viewer,en,0,false
1928,artificial,0.000025028427103279682,Google Books Ngram Viewer,en,0,false
1929,artificial,0.00002587142388152386,Google Books Ngram Viewer,en,0,false
1930,artificial,0.000023909157183817087,Google Books Ngram Viewer,en,0,false
1931,artificial,0.000022833540885516812,Google Books Ngram Viewer,en,0,false
1932,artificial,0.00002410051848181216,Google Books Ngram Viewer,en,0,false
1933,artificial,0.00002334743339815759,Google Books Ngram Viewer,en,0,false
1934,artificial,0.00002316676028613074,Google Books Ngram Viewer,en,0,false
1935,artificial,0.000021597108627702255,Google Books Ngram Viewer,en,0,false
1936,artificial,0.000019785151972172288,Google Books Ngram Viewer,en,0,false
1937,artificial,0.00002222827282594153,Google Books Ngram Viewer,en,0,false
1938,artificial,0.00002132349289120372,Google Books Ngram Viewer,en,0,false
1939,artificial,0.00002073708259331397,Google Books Ngram Viewer,en,0,false
1940,artificial,0.000019012508555182883,Google Books Ngram Viewer,en,0,false
1941,artificial,0.000017660752496109766,Google Books Ngram Viewer,en,0,false
1942,artificial,0.000017237038846484865,Google Books Ngram Viewer,en,0,false
1943,artificial,0.000017370041803133063,Google Books Ngram Viewer,en,0,false
1944,artificial,0.00001959208458644779,Google Books Ngram Viewer,en,0,false
1945,artificial,0.000018897745680701572,Google Books Ngram Viewer,en,0,false
1946,artificial,0.00001898842600073225,Google Books Ngram Viewer,en,0,false
1947,artificial,0.000018683768447366744,Google Books Ngram Viewer,en,0,false
1948,artificial,0.000018977807542341907,Google Books Ngram Viewer,en,0,false
1949,artificial,0.00001902868736837482,Google Books Ngram Viewer,en,0,false
1950,artificial,0.00001910945132976849,Google Books Ngram Viewer,en,0,false
1951,artificial,0.000018415838986665656,Google Books Ngram Viewer,en,0,false
1952,artificial,0.000018368290795933717,Google Books Ngram Viewer,en,0,false
1953,artificial,0.00001805296049435523,Google Books Ngram Viewer,en,0,false
1954,artificial,0.000017828728478060107,Google Books Ngram Viewer,en,0,false
1955,artificial,0.000017056630502318426,Google Books Ngram Viewer,en,0,false
1956,artificial,0.00001700624015675556,Google Books Ngram Viewer,en,0,false
1957,artificial,0.000017217438154110143,Google Books Ngram Viewer,en,0,false
1958,artificial,0.00001882825810595179,Google Books Ngram Viewer,en,0,false
1959,artificial,0.000018591528089473286,Google Books Ngram Viewer,en,0,false
1960,artificial,0.000018565139737886094,Google Books Ngram Viewer,en,0,false
1961,artificial,0.00001780849869281037,Google Books Ngram Viewer,en,0,false
1962,artificial,0.00001900837015710033,Google Books Ngram Viewer,en,0,false
1963,artificial,0.000019087170763876227,Google Books Ngram Viewer,en,0,false
1964,artificial,0.000019193241153334095,Google Books Ngram Viewer,en,0,false
1965,artificial,0.000020391911000644525,Google Books Ngram Viewer,en,0,false
1966,artificial,0.00001945396712367542,Google Books Ngram Viewer,en,0,false
1967,artificial,0.000018951695186203432,Google Books Ngram Viewer,en,0,false
1968,artificial,0.000018946989178966755,Google Books Ngram Viewer,en,0,false
1969,artificial,0.000019301935410116766,Google Books Ngram Viewer,en,0,false
1970,artificial,0.00001828804690228586,Google Books Ngram Viewer,en,0,false
1971,artificial,0.000018261107201288096,Google Books Ngram Viewer,en,0,false
1972,artificial,0.000018618357345755177,Google Books Ngram Viewer,en,0,false
1973,artificial,0.000018748400634649443,Google Books Ngram Viewer,en,0,false
1974,artificial,0.00001806965055331164,Google Books Ngram Viewer,en,0,false
1975,artificial,0.000018149668304899558,Google Books Ngram Viewer,en,0,false
1976,artificial,0.000017485161261106275,Google Books Ngram Viewer,en,0,false
1977,artificial,0.000017963210325433465,Google Books Ngram Viewer,en,0,false
1978,artificial,0.000016836234400796624,Google Books Ngram Viewer,en,0,false
1979,artificial,0.000016117324922036713,Google Books Ngram Viewer,en,0,false
1980,artificial,0.00001633197288594679,Google Books Ngram Viewer,en,0,false
1981,artificial,0.000016109611477292674,Google Books Ngram Viewer,en,0,false
1982,artificial,0.000017083520565661092,Google Books Ngram Viewer,en,0,false
1983,artificial,0.00001653684213534512,Google Books Ngram Viewer,en,0,false
1984,artificial,0.00001779693138814764,Google Books Ngram Viewer,en,0,false
1985,artificial,0.00001999298866512539,Google Books Ngram Viewer,en,0,false
1986,artificial,0.000020580261635962105,Google Books Ngram Viewer,en,0,false
1987,artificial,0.000020766050531237368,Google Books Ngram Viewer,en,0,false
1988,artificial,0.00002040606182457036,Google Books Ngram Viewer,en,0,false
1989,artificial,0.000020864931341457726,Google Books Ngram Viewer,en,0,false
1990,artificial,0.00002058411366316626,Google Books Ngram Viewer,en,0,false
1991,artificial,0.000020064199258124082,Google Books Ngram Viewer,en,0,false
1992,artificial,0.000019105739817393275,Google Books Ngram Viewer,en,0,false
1993,artificial,0.00001837482651280073,Google Books Ngram Viewer,en,0,false
1994,artificial,0.000018512963934787935,Google Books Ngram Viewer,en,0,false
1995,artificial,0.000018716517184894088,Google Books Ngram Viewer,en,0,false
1996,artificial,0.000017058536530424606,Google Books Ngram Viewer,en,0,false
1997,artificial,0.000016721787882024303,Google Books Ngram Viewer,en,0,false
1998,artificial,0.00001650077843808051,Google Books Ngram Viewer,en,0,false
1999,artificial,0.00001579573097302764,Google Books Ngram Viewer,en,0,false
