id,term_or_phrase,domain,source_period,year_or_period,source_name,source_type,source_url,evidence_kind,sense_or_usage,confidence,short_summary,negative_charge,chart4a_relevance,chart4b_relevance,needs_followup,notes
p001,artificial,early_lexical_negative,pre_1800,1590s/1640s chronology,Etymonline,etymology_source,https://www.etymonline.com/word/artificial,definition,affected_insincere,medium,Secondary chronology records affected/insincere and fictitious/not-genuine branches before 1800.,2,high,medium,true,Chronology lead only; OED/manual quotation review needed.
p002,artificial tears,false_emotion,pre_1800,1590s play,"Henry VI, Part 3",book_snippet,https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,snippet,false_emotion,high,Feigned tears appear as part of a deceptive emotional performance.,3,high,medium,true,Strong early false-emotion evidence.
p003,artificial manners,affected_manners,pre_1800,1787,Thoughts on the Education of Daughters,book_snippet,https://www.gutenberg.org/ebooks/67466.html.images,snippet,affected_insincere,high,Artificial manners are framed as affectation and copied feeling rather than genuine feeling.,3,high,medium,false,Strong early social/manners evidence.
p004,artificial manner,aesthetic_style,pre_1800,1773,An Explanatory Discourse by Tan Chet-qua,book_snippet,https://www.gutenberg.org/cache/epub/39803/pg39803-images.html,snippet,aesthetic_criticism,medium,Aesthetic/gardening passage places artificial manner in a nature/art and affectation context.,1,medium,low,true,"Mixed and aesthetic, not direct social insincerity."
p005,artificial,fake_not_genuine,pre_1800,1755/1773 indirect transcription,Johnson via Definitions.net,historical_dictionary,https://www.definitions.net/definition/artificial,definition,fake_not_genuine,medium,Indirect Johnson evidence separates not-natural from fictitious/not-genuine.,2,high,high,true,Direct Johnson check still blocks firm claims.
p006,artificial,not_natural,1800_1850,1828 checkpoint,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,definition,not_natural,high,Checkpoint dictionary separates made-by-art/not-natural from feigned/fictitious/not-genuine.,1,medium,high,false,Not origin evidence.
p007,artificial manner / tears / smile Ngram signals,affected_manners,1800_2019,1800-2019,Existing Chart 4 Ngram package,corpus_result,docs/research/artificial/chart_04_suspicion_distance/,frequency_signal,unclear_or_mixed,medium,"Existing Ngram provides frequency signals for social/emotional artificial phrases, not context or sentiment.",1,background,low,true,Use only as visibility baseline.
p008,artificially colored,processed_consumer,1900_1950,1904-05-12,The Port Gibson Reveille via Chronicling America,newspaper_snippet,https://chroniclingamerica.loc.gov/lccn/sn86090233/1904-05-12/ed-1/seq-6/,context_signal,consumer_suspicion,medium,Food report contrasts products and coloring practices in a consumer trust context.,2,medium,low,true,OCR/page review needed.
p009,no artificial flavoring,absence_claim,1950_2000,1950-05-03,Evening Star via Chronicling America,advertising_snippet,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,advertising_claim,absence_claim,medium,Advertisement turns absence of artificial flavoring into a positive product distinction.,4,high,medium,true,Verify page image before quotation.
p010,artificial sweetener,industrial_synthetic,1950_2000,1969-1976,JAMA / FDA / New Yorker cyclamate materials,secondary_literature,https://jamanetwork.com/journals/jama/fullarticle/349150; https://www.fda.gov/about-fda/fda-history/milestones-us-food-and-drug-law; https://www.newyorker.com/magazine/1969/11/01/comment-5253,context_signal,industrial_synthetic,medium,Cyclamate/artificial-sweetener discourse shows artificial entering regulatory and consumer scrutiny contexts.,3,medium,low,true,Do not make health-risk claims from this row.
p011,artificial flavor; artificial color,processed_consumer,1950_2000,current CFR category,21 CFR 101.22,regulatory_source,https://ecfr.io/Title-21/Section-101.22,regulatory_definition,consumer_suspicion,high,Regulatory categories stabilize artificial flavor/color as label-visible food terms.,1,background,medium,false,"Regulatory category, not negative proof."
p012,no artificial colors,absence_claim,2019_2026,2026-02-05,FDA no artificial colors labeling letter,regulatory_source,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims,regulatory_definition,absence_claim,high,FDA addresses voluntary no artificial colors labeling claims.,4,high,medium,false,Official evidence that absence-claim language is active.
