term,term_slug,corpus,quality,first_non_zero_year,max_year,max_frequency_per_million,avg_1800_1899,avg_1900_1949,avg_1950_1999,avg_2000_2022,above_0_1_per_million,above_1_per_million,above_5_per_million,ngram
data,data,en,ok,1800,1983,511.94422078,9.18545552,75.96670703,356.1180096,370.34058189,1800,1800,1811,data (All)
datum,datum,en,ok,1800,1950,32.4122604,0.74301108,2.74498138,4.73042434,1.61088189,1800,1808,1944,datum (All)
statistical data,statistical-data,en,ok,1800,1932,3.77449537,0.07295673,1.04356036,2.01463135,0.90965333,1832,1923,,statistical data (All)
empirical data,empirical-data,en,ok,1811,1991,1.10792383,0.0044012,0.04742989,0.56590108,0.8441176,1941,1991,,empirical data (All)
observational data,observational-data,en,ok,1826,2012,0.5016855,0.00208387,0.06424037,0.32506665,0.31525515,1933,,,observational data (All)
census data,census-data,en,ok,1808,1993,5.17027064,0.0040374,0.25368301,1.38573083,0.84118804,1832,1964,1993,census data (All)
data collection,data-collection,en,ok,1800,2022,8.07892532,0.00251727,0.03887773,3.87836321,6.25598763,1933,1962,1976,data collection (All)
data entry,data-entry,en,ok,1845,1986,3.14527426,0.00013933,0.00527647,1.00195086,0.88738449,1964,1976,,data entry (All)
data tabulation,data-tabulation,en,requires_manual_review,1832,1974,0.04145865,0.00001166,0.00100407,0.02007446,0.00926511,,,,data tabulation (All)
data processing,data-processing,en,ok,1800,1978,15.47766133,0.0125205,0.07387175,9.33796063,2.52921743,1800,1954,1959,data processing (All)
computer data,computer-data,en,requires_manual_review,1820,1986,0.71578391,0.00018224,0.00286073,0.35265324,0.1997523,1962,,,computer data (All)
digital data,digital-data,en,requires_manual_review,1811,1984,1.31640194,0.00143372,0.00533648,0.74593047,0.50414044,1954,1976,,digital data (All)
machine-readable data,machine-readable-data,en,requires_manual_review,1889,1988,0.30922179,0.00000453,0.00023558,0.08122958,0.01527407,1974,,,machine - readable data (All)
data storage,data-storage,en,ok,1826,2022,1.35838918,0.00022283,0.00504853,0.71659473,0.98205194,1957,1983,,data storage (All)
data retrieval,data-retrieval,en,ok,1801,1976,0.4867578,0.00014287,0.00155134,0.23717763,0.14978604,1962,,,data retrieval (All)
database,database,en,ok,1802,1993,47.92197591,0.00335046,0.08162061,11.67096427,35.00511721,1869,1900,1974,database (All)
data base,data-base,en,requires_manual_review,1800,1983,25.64256185,0.0017735,0.03157095,7.12615278,1.14109137,1933,1968,1974,data base (All)
data bank,data-bank,en,ok,1801,1974,2.63771752,0.00060292,0.00962391,1.10626384,0.44952437,1964,1969,,data bank (All)
dataset,dataset,en,ok,1823,2022,22.14774575,0.00027979,0.00448604,0.30855603,7.14500492,1970,1996,2010,dataset (All)
data set,data-set,en,requires_manual_review,1800,2004,7.10946917,0.2221372,0.06070586,2.23213402,6.14007711,1811,1811,1994,data set (All)
data management,data-management,en,ok,1809,1986,2.10428185,0.00045256,0.0037852,0.93249319,1.25796533,1962,1974,,data management (All)
data warehouse,data-warehouse,en,ok,1843,2008,1.19196953,0.00052501,0.00102058,0.06920962,0.7642735,1992,2008,,data warehouse (All)
metadata,metadata,en,ok,1809,2010,4.59037847,0.00066611,0.00395304,0.11838765,3.24326886,1982,1999,,metadata (All)
open data,open-data,en,ok,1857,2019,1.12815917,0.00001201,0.00054899,0.01564359,0.3606968,2011,2019,,open data (All)
user data,user-data,en,requires_manual_review,1869,2022,0.5047552,0.00000899,0.00070725,0.09474087,0.36224943,1980,,,user data (All)
search data,search-data,en,requires_manual_review,1843,1982,0.10082607,0.00002009,0.00335321,0.03015962,0.03935253,1982,,,search data (All)
clickstream data,clickstream-data,en,ok,1901,2002,0.03842097,0,0.00003899,0.00019797,0.0167756,,,,clickstream data (All)
log data,log-data,en,requires_manual_review,1826,1995,0.24758858,0.00008536,0.0083884,0.10324219,0.15275507,1966,,,log data (All)
personal data,personal-data,en,ok,1802,2008,9.22171694,0.00164147,0.08021937,0.4544984,2.02489609,1932,1967,2008,personal data (All)
data protection,data-protection,en,ok,1843,2022,3.35596031,0.00020726,0.0015053,0.22982938,1.58385885,1973,2000,,data protection (All)
data privacy,data-privacy,en,ok,1843,2022,0.89293616,0.00001293,0.0010261,0.01801776,0.26571331,2000,,,data privacy (All)
data breach,data-breach,en,ok,1900,2021,0.37314997,0,0.00006829,0.00017012,0.12704229,2014,,,data breach (All)
personal data breach,personal-data-breach,en,ok,1984,2020,0.03582701,0,0,0.00000111,0.00847027,,,,personal data breach (All)
data rights,data-rights,en,ok,1852,1985,0.06521152,0.00000424,0.00036932,0.01769338,0.01976581,,,,data rights (All)
data governance,data-governance,en,ok,1900,2022,0.60516442,0,0.00005082,0.00002904,0.13278984,2010,,,data governance (All)
data mining,data-mining,en,ok,1843,2008,3.64724678,0.00010185,0.00041321,0.06412621,2.62204201,1995,2000,,data mining (All)
big data,big-data,en,requires_manual_review,1825,2021,10.57630166,0.0001899,0.00140432,0.00379387,2.793012,2012,2013,2017,big data (All)
data-driven,data-driven,en,requires_manual_review,1843,2022,2.81401707,0.00003931,0.00092106,0.06022205,0.86437388,1985,2017,,data - driven (All)
data science,data-science,en,ok,1800,2022,2.37238494,0.00005708,0.0003925,0.00625509,0.44142217,2013,2018,,data science (All)
data broker,data-broker,en,ok,1900,2006,0.02618436,0,0.00000469,0.00066201,0.01250443,,,,data broker (All)
data monetization,data-monetization,en,ok,1900,2021,0.01829354,0,0.00000272,0,0.00366799,,,,data monetization (All)
training data,training-data,en,ok,1817,2022,2.75403775,0.00006483,0.00285051,0.13715665,1.1560177,1971,2005,,training data (All)
labelled data,labelled-data,en,requires_manual_review,1901,2022,0.09881051,0,0.00002343,0.0008655,0.020228,,,,labelled data (All)
labeled data,labeled-data,en,requires_manual_review,1900,2022,0.39373215,0,0.00022034,0.00240533,0.10759987,2016,,,labeled data (All)
synthetic data,synthetic-data,en,requires_manual_review,1839,2022,0.35718334,0.00006589,0.00077992,0.04542185,0.17019134,1992,,,synthetic data (All)
datafication,datafication,en,requires_manual_review,1900,2022,0.1857485,0,0.0000049,0.00034074,0.03027812,2020,,,datafication (All)
data,data,en-US,ok,1800,1984,580.50013342,10.49266094,86.7302151,400.07561164,384.12561746,1800,1800,1800,data (All)
datum,datum,en-US,ok,1800,1950,45.75491587,0.67426868,3.10271288,5.6762238,1.60415007,1800,1805,1808,datum (All)
statistical data,statistical-data,en-US,ok,1800,1932,5.10763098,0.08029005,1.15696289,2.00005378,0.73535931,1800,1923,1932,statistical data (All)
empirical data,empirical-data,en-US,ok,1811,1991,1.29218971,0.00437258,0.05080319,0.60699857,0.70387547,1940,1991,,empirical data (All)
observational data,observational-data,en-US,ok,1835,1965,0.49247454,0.0021908,0.05676934,0.30497549,0.29938609,1940,,,observational data (All)
census data,census-data,en-US,ok,1808,1993,7.00867026,0.00689129,0.314047,1.60897404,0.97084259,1832,1956,1993,census data (All)
data collection,data-collection,en-US,ok,1800,2019,7.78027012,0.00972233,0.04216932,4.42382415,6.56554489,1800,1962,1974,data collection (All)
