term_or_phrase,reason,needed_source_type,priority,notes
natural,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: core_baseline.
real,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: core_baseline.
fake,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: core_baseline.
genuine,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: core_baseline.
synthetic,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: core_baseline.
imitation,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: core_baseline.
man-made,Weak or missing Ngram signal needs confirmation before dismissal.,Google Books snippets; corpus_context,high,Ngram status: missing; query group: core_baseline.
human-made,Weak or missing Ngram signal needs confirmation before dismissal.,Google Books snippets; corpus_context,high,Ngram status: missing; query group: core_baseline.
machine-made,Weak or missing Ngram signal needs confirmation before dismissal.,Google Books snippets; corpus_context,high,Ngram status: missing; query group: core_baseline.
artificial smile,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial manner,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial manners,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial style,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial expression,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial behaviour,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial behavior,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial sentiment,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial passion,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial emotion,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial feeling,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial tears,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial politeness,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial society,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial life,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial world,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial taste,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial charm,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial elegance,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial refinement,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial simplicity,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
artificial constraint,"Affective or social phrases require context review because Ngram cannot classify sentiment, irony, or sense.",Google Books snippets; corpus_context; historical_dictionary,medium,Ngram status: collected.
authentic,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: semantic_distance.
false,Broad unigram is too ambiguous to interpret without contextual or semantic sources.,semantic_dictionary; corpus_context; dictionary,medium,Ngram status: collected; query group: semantic_distance.
artificial ingredients,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial flavor,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial flavour,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial color,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial colour,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial colors,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial colours,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial sweetener,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial sweeteners,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial preservatives,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificial additives,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
