year,term,value,query_group,source,corpus,smoothing,case_sensitive
1800,artificial,0.000014720395384415497,core_baseline,Google Books Ngram Viewer,en,0,false
1801,artificial,0.00001617228807049287,core_baseline,Google Books Ngram Viewer,en,0,false
1802,artificial,0.00001679466745940772,core_baseline,Google Books Ngram Viewer,en,0,false
1803,artificial,0.000011306018336654233,core_baseline,Google Books Ngram Viewer,en,0,false
1804,artificial,0.00001211725715677403,core_baseline,Google Books Ngram Viewer,en,0,false
1805,artificial,0.000014418483452516284,core_baseline,Google Books Ngram Viewer,en,0,false
1806,artificial,0.00001576067798225722,core_baseline,Google Books Ngram Viewer,en,0,false
1807,artificial,0.000018157299194854204,core_baseline,Google Books Ngram Viewer,en,0,false
1808,artificial,0.000014920752754221667,core_baseline,Google Books Ngram Viewer,en,0,false
1809,artificial,0.000014477631182785444,core_baseline,Google Books Ngram Viewer,en,0,false
1810,artificial,0.000016888607746068374,core_baseline,Google Books Ngram Viewer,en,0,false
1811,artificial,0.000012553627968259207,core_baseline,Google Books Ngram Viewer,en,0,false
1812,artificial,0.00001083046194594317,core_baseline,Google Books Ngram Viewer,en,0,false
1813,artificial,0.000015810772268309847,core_baseline,Google Books Ngram Viewer,en,0,false
1814,artificial,0.000012222239206494123,core_baseline,Google Books Ngram Viewer,en,0,false
1815,artificial,0.00001544607571446477,core_baseline,Google Books Ngram Viewer,en,0,false
1816,artificial,0.000013094824510062608,core_baseline,Google Books Ngram Viewer,en,0,false
1817,artificial,0.000015500447545946372,core_baseline,Google Books Ngram Viewer,en,0,false
1818,artificial,0.000015378879481886543,core_baseline,Google Books Ngram Viewer,en,0,false
1819,artificial,0.000023677094759477768,core_baseline,Google Books Ngram Viewer,en,0,false
1820,artificial,0.000015126426006872862,core_baseline,Google Books Ngram Viewer,en,0,false
1821,artificial,0.000015772047547102375,core_baseline,Google Books Ngram Viewer,en,0,false
1822,artificial,0.000016539561912054523,core_baseline,Google Books Ngram Viewer,en,0,false
1823,artificial,0.000015691450471422286,core_baseline,Google Books Ngram Viewer,en,0,false
1824,artificial,0.000015156023039253341,core_baseline,Google Books Ngram Viewer,en,0,false
1825,artificial,0.00001583062629606502,core_baseline,Google Books Ngram Viewer,en,0,false
1826,artificial,0.000015986497757580764,core_baseline,Google Books Ngram Viewer,en,0,false
1827,artificial,0.000015967454032761452,core_baseline,Google Books Ngram Viewer,en,0,false
1828,artificial,0.00001649312305573858,core_baseline,Google Books Ngram Viewer,en,0,false
1829,artificial,0.000017317022951601757,core_baseline,Google Books Ngram Viewer,en,0,false
1830,artificial,0.00001810035207938654,core_baseline,Google Books Ngram Viewer,en,0,false
1831,artificial,0.000014197662338233386,core_baseline,Google Books Ngram Viewer,en,0,false
1832,artificial,0.000014134368825580168,core_baseline,Google Books Ngram Viewer,en,0,false
1833,artificial,0.000016814596577319207,core_baseline,Google Books Ngram Viewer,en,0,false
1834,artificial,0.00001592171638264972,core_baseline,Google Books Ngram Viewer,en,0,false
1835,artificial,0.000018217910579210184,core_baseline,Google Books Ngram Viewer,en,0,false
1836,artificial,0.000015048030192588158,core_baseline,Google Books Ngram Viewer,en,0,false
1837,artificial,0.000017299411155136113,core_baseline,Google Books Ngram Viewer,en,0,false
1838,artificial,0.00001630599726354376,core_baseline,Google Books Ngram Viewer,en,0,false
1839,artificial,0.000017370166844443702,core_baseline,Google Books Ngram Viewer,en,0,false
1840,artificial,0.000016423347787508646,core_baseline,Google Books Ngram Viewer,en,0,false
1841,artificial,0.000017574988248725276,core_baseline,Google Books Ngram Viewer,en,0,false
1842,artificial,0.000019013380949672865,core_baseline,Google Books Ngram Viewer,en,0,false
1843,artificial,0.000017950594099147565,core_baseline,Google Books Ngram Viewer,en,0,false
1844,artificial,0.000019570482805875145,core_baseline,Google Books Ngram Viewer,en,0,false
1845,artificial,0.00001895644754768,core_baseline,Google Books Ngram Viewer,en,0,false
1846,artificial,0.000017970090425478702,core_baseline,Google Books Ngram Viewer,en,0,false
1847,artificial,0.000018223333256628393,core_baseline,Google Books Ngram Viewer,en,0,false
1848,artificial,0.000018961539524298132,core_baseline,Google Books Ngram Viewer,en,0,false
1849,artificial,0.000017718314410331004,core_baseline,Google Books Ngram Viewer,en,0,false
1850,artificial,0.00001862863001633741,core_baseline,Google Books Ngram Viewer,en,0,false
1851,artificial,0.000020777567301955013,core_baseline,Google Books Ngram Viewer,en,0,false
1852,artificial,0.000020963981626209716,core_baseline,Google Books Ngram Viewer,en,0,false
1853,artificial,0.000020601368646566698,core_baseline,Google Books Ngram Viewer,en,0,false
1854,artificial,0.000019970009248027054,core_baseline,Google Books Ngram Viewer,en,0,false
1855,artificial,0.000021078377699268458,core_baseline,Google Books Ngram Viewer,en,0,false
1856,artificial,0.000020069425659130502,core_baseline,Google Books Ngram Viewer,en,0,false
1857,artificial,0.000022811321287008468,core_baseline,Google Books Ngram Viewer,en,0,false
1858,artificial,0.00002103810891185276,core_baseline,Google Books Ngram Viewer,en,0,false
1859,artificial,0.00002040562253569078,core_baseline,Google Books Ngram Viewer,en,0,false
1860,artificial,0.000019798864855147258,core_baseline,Google Books Ngram Viewer,en,0,false
1861,artificial,0.000021241670538074686,core_baseline,Google Books Ngram Viewer,en,0,false
1862,artificial,0.00002361280451168568,core_baseline,Google Books Ngram Viewer,en,0,false
1863,artificial,0.000022476897015621944,core_baseline,Google Books Ngram Viewer,en,0,false
1864,artificial,0.000020353758827695856,core_baseline,Google Books Ngram Viewer,en,0,false
1865,artificial,0.00002033444661719841,core_baseline,Google Books Ngram Viewer,en,0,false
1866,artificial,0.000020641304104174196,core_baseline,Google Books Ngram Viewer,en,0,false
1867,artificial,0.000021776739572487713,core_baseline,Google Books Ngram Viewer,en,0,false
1868,artificial,0.0000200931144149763,core_baseline,Google Books Ngram Viewer,en,0,false
1869,artificial,0.000020948571088086343,core_baseline,Google Books Ngram Viewer,en,0,false
1870,artificial,0.00001992911256820662,core_baseline,Google Books Ngram Viewer,en,0,false
1871,artificial,0.000020174382939330826,core_baseline,Google Books Ngram Viewer,en,0,false
1872,artificial,0.00002146413503512079,core_baseline,Google Books Ngram Viewer,en,0,false
1873,artificial,0.00002122229629034078,core_baseline,Google Books Ngram Viewer,en,0,false
1874,artificial,0.00002148618165165317,core_baseline,Google Books Ngram Viewer,en,0,false
1875,artificial,0.00002095490403969391,core_baseline,Google Books Ngram Viewer,en,0,false
1876,artificial,0.000021831883657341677,core_baseline,Google Books Ngram Viewer,en,0,false
1877,artificial,0.000020682513991232554,core_baseline,Google Books Ngram Viewer,en,0,false
1878,artificial,0.000020826947888963332,core_baseline,Google Books Ngram Viewer,en,0,false
1879,artificial,0.00002100650203828991,core_baseline,Google Books Ngram Viewer,en,0,false
1880,artificial,0.000021502606841750094,core_baseline,Google Books Ngram Viewer,en,0,false
1881,artificial,0.000019645135058143914,core_baseline,Google Books Ngram Viewer,en,0,false
1882,artificial,0.000020075967530036598,core_baseline,Google Books Ngram Viewer,en,0,false
1883,artificial,0.000022291778286637198,core_baseline,Google Books Ngram Viewer,en,0,false
1884,artificial,0.00002152438360494835,core_baseline,Google Books Ngram Viewer,en,0,false
1885,artificial,0.00002072694742666359,core_baseline,Google Books Ngram Viewer,en,0,false
1886,artificial,0.000020609712180430506,core_baseline,Google Books Ngram Viewer,en,0,false
1887,artificial,0.000019549812981231596,core_baseline,Google Books Ngram Viewer,en,0,false
1888,artificial,0.000020155056282611383,core_baseline,Google Books Ngram Viewer,en,0,false
1889,artificial,0.00002083843304490074,core_baseline,Google Books Ngram Viewer,en,0,false
1890,artificial,0.000021034818058707216,core_baseline,Google Books Ngram Viewer,en,0,false
1891,artificial,0.00002061113752915844,core_baseline,Google Books Ngram Viewer,en,0,false
1892,artificial,0.000020513079334705253,core_baseline,Google Books Ngram Viewer,en,0,false
1893,artificial,0.000021136748046046705,core_baseline,Google Books Ngram Viewer,en,0,false
1894,artificial,0.000019702074723682017,core_baseline,Google Books Ngram Viewer,en,0,false
1895,artificial,0.000019840013237626408,core_baseline,Google Books Ngram Viewer,en,0,false
1896,artificial,0.000018916906489363505,core_baseline,Google Books Ngram Viewer,en,0,false
1897,artificial,0.00001928981205416569,core_baseline,Google Books Ngram Viewer,en,0,false
1898,artificial,0.000019193265188732767,core_baseline,Google Books Ngram Viewer,en,0,false
1899,artificial,0.000019058621886142157,core_baseline,Google Books Ngram Viewer,en,0,false
1900,artificial,0.00001904864607049639,core_baseline,Google Books Ngram Viewer,en,0,false
1901,artificial,0.00001869717838845486,core_baseline,Google Books Ngram Viewer,en,0,false
1902,artificial,0.000020563369957926625,core_baseline,Google Books Ngram Viewer,en,0,false
1903,artificial,0.00001921022936335337,core_baseline,Google Books Ngram Viewer,en,0,false
1904,artificial,0.000019929103473495524,core_baseline,Google Books Ngram Viewer,en,0,false
