year,term,value,source,corpus,smoothing,case_sensitive,query_group,semantic_domain,narrative_role
1800,artificial language,7.504522603341002e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1801,artificial language,6.882906311567183e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1802,artificial language,7.996206363714009e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1803,artificial language,1.7416240893908252e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1804,artificial language,4.478134085772467e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1805,artificial language,3.609091336898018e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1806,artificial language,2.534181353652798e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1807,artificial language,1.8720118788451146e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1808,artificial language,3.348780452938627e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1809,artificial language,7.275436342268904e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1810,artificial language,3.5008311138895465e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1811,artificial language,3.556754002431717e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1812,artificial language,3.116933200431049e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1813,artificial language,4.1338765743859085e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1814,artificial language,4.493995220400393e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1815,artificial language,6.154488829679394e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1816,artificial language,4.504343564804003e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1817,artificial language,2.321772307745107e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1818,artificial language,3.956642569136193e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1819,artificial language,6.599329793743891e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1820,artificial language,3.0164078013150686e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1821,artificial language,4.9309530680829994e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1822,artificial language,4.7786638646130086e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1823,artificial language,5.6837391460007325e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1824,artificial language,2.8943468066700007e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1825,artificial language,7.548274094659746e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1826,artificial language,4.2958446133667394e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1827,artificial language,7.859890516215273e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1828,artificial language,2.6558540588972335e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1829,artificial language,6.710814481891703e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1830,artificial language,3.4439385121487476e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1831,artificial language,4.13395599974109e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1832,artificial language,2.1498055502444657e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1833,artificial language,3.096675182945319e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1834,artificial language,5.2519176119147915e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1835,artificial language,3.878349347230525e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1836,artificial language,2.8537182672483397e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1837,artificial language,2.3883936828283936e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1838,artificial language,2.8898495818552306e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1839,artificial language,3.0100493875195866e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1840,artificial language,1.1528972443386465e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1841,artificial language,4.1162599551114454e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1842,artificial language,3.885331756325883e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1843,artificial language,2.3917493541247836e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1844,artificial language,2.1708939534903493e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1845,artificial language,2.718702951653995e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1846,artificial language,3.398251702257937e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1847,artificial language,2.9257158418172224e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1848,artificial language,1.4753704313807958e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1849,artificial language,1.1079844486339141e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1850,artificial language,2.471717419627595e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1851,artificial language,9.902640568659749e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1852,artificial language,1.609426009130388e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1853,artificial language,1.3915071261916268e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1854,artificial language,3.922221092356182e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1855,artificial language,1.8447048111269737e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1856,artificial language,1.3196287174110921e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1857,artificial language,1.992208201184731e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1858,artificial language,1.696026907804793e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1859,artificial language,1.8616753916234074e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1860,artificial language,1.5366376032721618e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1861,artificial language,8.113571148271603e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1862,artificial language,1.1005412636766465e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1863,artificial language,2.8739130575328176e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1864,artificial language,4.0510806986748804e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1865,artificial language,1.829050097490459e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1866,artificial language,1.4601721554097224e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1867,artificial language,1.3639698259737543e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1868,artificial language,2.0606502948439243e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1869,artificial language,1.4837760964336866e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1870,artificial language,1.6870682462144515e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1871,artificial language,9.752061380652322e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1872,artificial language,4.44422585399451e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1873,artificial language,2.4752994820520513e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1874,artificial language,2.2563034107747626e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1875,artificial language,1.7596371804096123e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1876,artificial language,2.2254222686868275e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1877,artificial language,1.7167659516204026e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1878,artificial language,1.6659014112629933e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1879,artificial language,2.0460836913649416e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1880,artificial language,1.5514253215442864e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1881,artificial language,1.2195160270511707e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1882,artificial language,1.0982767417733186e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1883,artificial language,1.4043654683604245e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1884,artificial language,1.1316648215742298e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1885,artificial language,1.1847394620900786e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1886,artificial language,1.08439183327258e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
1887,artificial language,1.776572555733935e-8,Google Books Ngram Viewer,en,0,false,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system
