year,term,value,source,corpus,smoothing,case_sensitive,query_group,semantic_domain,narrative_role
1800,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1801,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1802,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1803,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1804,artificial silk,3.894029543261013e-9,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1805,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1806,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1807,artificial silk,1.8720118788451146e-9,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1808,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1809,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1810,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1811,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1812,artificial silk,1.4167877981918764e-9,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1813,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1814,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1815,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1816,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1817,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
1818,artificial silk,0,Google Books Ngram Viewer,en,0,false,chart06_material,MATERIAL,industrial textile substitute
