year,term,value,source,corpus,smoothing,case_sensitive,query_group,semantic_domain,narrative_role
1800,artificial manner,4.09337594931003e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1801,artificial manner,9.177208681876436e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1802,artificial manner,6.396965090971207e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1803,artificial manner,3.2897343515969624e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1804,artificial manner,2.3364176371387657e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1805,artificial manner,5.4136368277113434e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1806,artificial manner,5.068362796123438e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1807,artificial manner,5.054432250517493e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1808,artificial manner,7.325457573870153e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1809,artificial manner,4.403553433007801e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1810,artificial manner,3.50083126932077e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1811,artificial manner,4.801617858873897e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1812,artificial manner,4.6753996230108896e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1813,artificial manner,3.472456455710926e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1814,artificial manner,3.932245817850344e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1815,artificial manner,3.620287714056758e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1816,artificial manner,5.45981038158061e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1817,artificial manner,5.970271432786944e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1818,artificial manner,3.6522855850762426e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1819,artificial manner,7.577008176440359e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1820,artificial manner,3.770509704459357e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1821,artificial manner,3.7803971508765244e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1822,artificial manner,4.0759193353778755e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1823,artificial manner,6.409322850231547e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1824,artificial manner,6.011335784705807e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1825,artificial manner,5.797949853558748e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1826,artificial manner,4.5345025512233406e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1827,artificial manner,5.1260155231602766e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1828,artificial manner,5.9491132686773085e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1829,artificial manner,3.630440659208034e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1830,artificial manner,3.806458193089668e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1831,artificial manner,2.4606880089095284e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1832,artificial manner,4.299611128244507e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1833,artificial manner,4.3190468090870127e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1834,artificial manner,3.312748120265496e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1835,artificial manner,4.8296428190042207e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1836,artificial manner,3.512268736960422e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1837,artificial manner,4.0833828762742996e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1838,artificial manner,4.3347743172716946e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1839,artificial manner,5.518424117667564e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1840,artificial manner,3.674859883062709e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1841,artificial manner,6.17439002148501e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1842,artificial manner,4.014842858168777e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1843,artificial manner,3.943154425201101e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1844,artificial manner,7.312485372779065e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1845,artificial manner,5.1353278074373065e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1846,artificial manner,2.8910498883760738e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1847,artificial manner,3.379706114969849e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1848,artificial manner,2.5135941328358058e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1849,artificial manner,3.90432589592038e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1850,artificial manner,3.945241289216028e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1851,artificial manner,3.015804139749889e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1852,artificial manner,2.2870791371865096e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1853,artificial manner,2.7830143523033257e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1854,artificial manner,5.0028327591711275e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1855,artificial manner,2.6235802863538993e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1856,artificial manner,3.216595265143063e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1857,artificial manner,2.8399563589687205e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1858,artificial manner,4.240067241756407e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1859,artificial manner,2.3878010013689277e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1860,artificial manner,2.3049563174781795e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1861,artificial manner,3.8764842003047306e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1862,artificial manner,3.7322703150266534e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1863,artificial manner,3.580613139320121e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1864,artificial manner,3.6712918927150895e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1865,artificial manner,2.4670908871371466e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1866,artificial manner,3.0701055919735154e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1867,artificial manner,1.9741669299300213e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1868,artificial manner,2.4727803804580617e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1869,artificial manner,2.190336090279743e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1870,artificial manner,2.2698737278670222e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1871,artificial manner,3.2042487163597144e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1872,artificial manner,2.7617689468684148e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1873,artificial manner,2.2181254166753206e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1874,artificial manner,2.530718745674676e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1875,artificial manner,2.0683454948766666e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1876,artificial manner,2.7389813084255366e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1877,artificial manner,3.7591252777247064e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1878,artificial manner,2.5125071800857768e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1879,artificial manner,2.2643327213245357e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1880,artificial manner,2.427229972568057e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1881,artificial manner,2.9320279537614624e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1882,artificial manner,1.7190419004942115e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1883,artificial manner,2.8325336742796026e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1884,artificial manner,2.306855151346099e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1885,artificial manner,1.8777002064318538e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1886,artificial manner,1.7169538360506387e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1887,artificial manner,1.8407861124281055e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1888,artificial manner,2.203364957154008e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1889,artificial manner,1.8434537452094446e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1890,artificial manner,2.2888015038802223e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1891,artificial manner,2.227878065363953e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1892,artificial manner,1.507497593422613e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1893,artificial manner,2.3237850588220255e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1894,artificial manner,1.776678359988182e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1895,artificial manner,2.461755954641376e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1896,artificial manner,2.200160587051414e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1897,artificial manner,2.0052972615758335e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1898,artificial manner,1.4421192240376968e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1899,artificial manner,2.3169357349361874e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1900,artificial manner,1.2643496916098229e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1901,artificial manner,1.1825963361355996e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1902,artificial manner,1.6392597501635464e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1903,artificial manner,1.825586615211705e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1904,artificial manner,1.5898688587867582e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1905,artificial manner,1.5984859658146888e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1906,artificial manner,1.2190142228973855e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1907,artificial manner,1.2884160405235434e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1908,artificial manner,1.3602395404488377e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1909,artificial manner,1.3125045050799145e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1910,artificial manner,1.7083975123455275e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1911,artificial manner,2.2230462803918272e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1912,artificial manner,1.33452422446112e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1913,artificial manner,1.0356684398971083e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1914,artificial manner,1.2315848785249273e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1915,artificial manner,7.971183713095797e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1916,artificial manner,9.305576753604328e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1917,artificial manner,8.221826774956753e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1918,artificial manner,9.8938502390844e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1919,artificial manner,6.619405468200057e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1920,artificial manner,9.103502840446254e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1921,artificial manner,9.363871456002926e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1922,artificial manner,1.334365776206603e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1923,artificial manner,1.1787527218198868e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1924,artificial manner,1.2585432251910333e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1925,artificial manner,1.3741822957324956e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1926,artificial manner,1.3288348213458256e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1927,artificial manner,1.2024012008282625e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1928,artificial manner,1.2305067187412533e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1929,artificial manner,1.490464285325288e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1930,artificial manner,1.2637425328421159e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1931,artificial manner,9.700110048527222e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1932,artificial manner,9.629125330423705e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1933,artificial manner,1.1900181284829614e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1934,artificial manner,1.3046721064613465e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1935,artificial manner,1.0345257095423221e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1936,artificial manner,1.3209898064303616e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1937,artificial manner,1.1341203365322627e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1938,artificial manner,7.336039754834989e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1939,artificial manner,9.80843693071387e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1940,artificial manner,7.434494353475429e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1941,artificial manner,1.0640620828894498e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1942,artificial manner,1.0195095143106236e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1943,artificial manner,7.05857727822945e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1944,artificial manner,7.2598194955642015e-9,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1945,artificial manner,1.4703839035234978e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1946,artificial manner,1.7360520132569945e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1947,artificial manner,1.6753965326188336e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1948,artificial manner,1.3559186662348566e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
1949,artificial manner,1.0598029120956198e-8,Google Books Ngram Viewer,en,0,false,chart06_social,SOCIAL,social conduct and performed style
