year,term,value,source,corpus,smoothing,case_sensitive,query_group,semantic_domain,narrative_role
1800,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1801,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1802,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1803,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1804,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1805,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1806,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1807,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1808,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1809,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1810,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1811,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1812,artificial mind,1.4167877981918764e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1813,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1814,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1815,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1816,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1817,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1818,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1819,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1820,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1821,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1822,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1823,artificial mind,1.2093062107254582e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1824,artificial mind,3.339630794130244e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1825,artificial mind,1.0939528172215773e-9,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1826,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
1827,artificial mind,0,Google Books Ngram Viewer,en,0,false,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate
