year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,broadcast,2.691192459991498e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1801,broadcast,4.0675971924031273e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1802,broadcast,4.0870866513387227e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1803,broadcast,3.294782224827486e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1804,broadcast,4.5853033192599923e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1805,broadcast,0.000001137982753363076,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1806,broadcast,3.1093569807794097e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1807,broadcast,7.536194546187147e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1808,broadcast,0.0000012907635884573665,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1809,broadcast,1.9123102745766118e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1810,broadcast,1.6883885001206522e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1811,broadcast,3.569037430040112e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1812,broadcast,1.6590208318234545e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1813,broadcast,9.042744757437049e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1814,broadcast,2.3070797983137936e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1815,broadcast,2.662527993635422e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1816,broadcast,1.0836028740968118e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1817,broadcast,2.1597957555741232e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1818,broadcast,7.69585339899237e-8,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1819,broadcast,3.0058473754479564e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1820,broadcast,3.506219098392549e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1821,broadcast,4.929247481300081e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1822,broadcast,3.25394457600936e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1823,broadcast,2.0684029244932844e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1824,broadcast,1.6362918131562765e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1825,broadcast,1.3404424858975972e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1826,broadcast,9.19731129034318e-8,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1827,broadcast,3.2168667729592926e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1828,broadcast,1.9269768380958396e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1829,broadcast,1.4309017359881437e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1830,broadcast,1.7742934232956031e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1831,broadcast,1.5287224019999712e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1832,broadcast,0.000002287028581626771,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1833,broadcast,1.1688016332556117e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1834,broadcast,3.3201971127994057e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1835,broadcast,4.7619530008091715e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1836,broadcast,3.1541300404835937e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1837,broadcast,3.014467444550917e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1838,broadcast,5.551373933876391e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1839,broadcast,4.952288277237926e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1840,broadcast,4.469769914194899e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1841,broadcast,3.9443704835662174e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1842,broadcast,8.012834120663115e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1843,broadcast,8.003100129272411e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1844,broadcast,9.937209588528617e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1845,broadcast,7.598087292670641e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1846,broadcast,9.760128341085306e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1847,broadcast,0.0000011013608691712307,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1848,broadcast,0.0000010594793256046842,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1849,broadcast,0.0000010977175630699776,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1850,broadcast,0.0000011795420649107768,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1851,broadcast,0.0000011290866943625133,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1852,broadcast,0.0000012320262268161741,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1853,broadcast,0.0000011364389207457748,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1854,broadcast,9.64232943267973e-7,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1855,broadcast,0.0000015810612321587314,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1856,broadcast,0.0000012765005248382977,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1857,broadcast,0.0000016799512891907398,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1858,broadcast,0.0000016774320243939655,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1859,broadcast,0.0000013118171082737717,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1860,broadcast,0.0000013016729649706349,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1861,broadcast,0.0000012198152745668267,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1862,broadcast,0.0000013087607619866048,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1863,broadcast,0.000001172136517624267,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1864,broadcast,0.0000010304056421439611,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1865,broadcast,0.000001221083033797754,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1866,broadcast,0.0000011379184812199128,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1867,broadcast,0.0000011106076662770192,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1868,broadcast,0.0000012706522429795086,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1869,broadcast,0.0000014252566309380654,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1870,broadcast,0.00000147982805032143,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1871,broadcast,0.0000013063670643020941,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1872,broadcast,0.0000011579971861408467,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1873,broadcast,0.0000013013064616984593,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1874,broadcast,0.000001456906216112941,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1875,broadcast,0.0000012420420159031664,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1876,broadcast,0.0000010741902447541918,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1877,broadcast,0.000001197220585780201,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1878,broadcast,0.0000012194968146417295,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1879,broadcast,0.0000011314058809830385,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1880,broadcast,0.0000013982616229313294,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1881,broadcast,0.0000012696810873791264,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1882,broadcast,0.000001239374981309993,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1883,broadcast,0.00000152551370824483,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1884,broadcast,0.000001318886209134007,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1885,broadcast,0.000001448633064171645,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1886,broadcast,0.0000013929785183108834,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1887,broadcast,0.0000012854650179860982,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1888,broadcast,0.000002056401815053732,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1889,broadcast,0.0000018028643342660189,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1890,broadcast,0.0000013631897601840137,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1891,broadcast,0.000001393416219741539,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1892,broadcast,0.0000015897531362440986,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1893,broadcast,0.0000014272463957354375,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1894,broadcast,0.0000014264797485452618,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1895,broadcast,0.0000013240657370516828,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
1896,broadcast,0.0000014368537319953134,Google Books Ngram Viewer,en,0,false,f_media_infrastructure,broader broadcast term covering radio and television eras
