year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1801,authentic experience,2.549224609182943e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1802,authentic experience,5.330804242476006e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1803,authentic experience,1.9351378277576714e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1804,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1805,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1806,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1807,authentic experience,3.744023757690229e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1808,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1809,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1810,authentic experience,1.250296866039946e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1811,authentic experience,3.556754002431717e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1812,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1813,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1814,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1815,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1816,authentic experience,2.729905190790305e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1817,authentic experience,1.6584087436655182e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1818,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1819,authentic experience,7.332588758401926e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1820,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1821,authentic experience,1.6436509930883858e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1822,authentic experience,0,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
1823,authentic experience,4.837224842901833e-9,Google Books Ngram Viewer,en,0,false,j_authenticity_context,modern phrase for authenticity anxiety around mediated experience
