term,term_type,relation_to_artificial,first_known_or_source_date,primary_sense,secondary_senses,source_count,ngram_collected,notes
art,root_family,"Latin ars/art root; supports art as learned skill, rule, craft, and practice.",early 13c. per Etymonline; 1828 historical dictionary snapshot collected,art_skill_making,technical_rule_reckoning,4,false,Strong Chart 1 evidence; helps avoid modern narrow reading of art as only fine art.
artificial,derived_form,"Main word; from artificialis/artificium, tied to art/skill/making and later not-natural/fake branches.",15th century per Merriam-Webster; late 14c./early 15c. per Etymonline,art_skill_making,technical_rule_reckoning;not_natural;imitation_substitute;fake_not_genuine;affected_insincere,12,true,"Core term; dictionary evidence must carry semantic claims, not Ngram alone."
artificially,derived_form,Adverbial form; directly preserves by art/human skill/contrivance wording in Webster 1828.,early 15c. per Etymonline; 1828 historical dictionary snapshot collected,art_skill_making,contrivance_construction,1,true,"Useful supporting term, probably not a main public-facing anchor."
artifice,root_family,Shares artificium family; shows skill/workmanship and later trick/deception branch.,1540 per Merriam-Webster; 1530s per Etymonline,art_skill_making,contrivance_construction;fake_not_genuine;affected_insincere,5,true,"Strong evidence, but needs careful handling because modern readers hear deception first."
artificer,agent_noun,Maker/craftsperson figure behind the adjective family.,late 14c. per Etymonline,art_skill_making,contrivance_construction;fake_not_genuine,5,true,"Strong background, maybe annotation-level."
artificiality,abstract_noun,Abstract noun showing appearance of art and insincerity branch.,1763 per Etymonline,affected_insincere,art_skill_making,1,true,"Useful to mark later affect/insincerity, not root layer."
artful,background_term,Art-family word where skill and cunning coexist.,1828 historical dictionary snapshot collected,contrivance_construction,art_skill_making;fake_not_genuine,1,true,Background only; helps explain semantic drift in art-family words.
artless,background_term,Oppositional art-family word: can mean lacking skill or free from guile.,1828 historical dictionary snapshot collected,affected_insincere,art_skill_making;fake_not_genuine,1,true,Background only; useful for sincerity contrast.
artisan,background_term,"Related art/craft worker term, but less directly tied to artificial.",1530s per Etymonline artificer related entry,art_skill_making,,1,true,Background only unless Chart 1 needs craft-worker vocabulary.
artifact / artefact,background_term,From arte + factum: thing made by skill; useful but later and less central.,1821 per Etymonline,art_skill_making,not_natural,1,true,"Interesting support, not core Chart 1 evidence."
contrivance,comparator,Conceptual neighbor for devised/constructed arrangement.,Ngram collected; dictionary support still optional,contrivance_construction,fake_not_genuine,0,true,Useful comparator but may pull the story toward suspicion.
technical,comparator,Conceptual neighbor for rule/system/learned method.,Ngram collected,technical_rule_reckoning,,0,true,Background comparator only.
artificial day,phrase_anchor,Early technical/reckoning phrase rather than fake-object phrase.,late 14c. per Etymonline,technical_rule_reckoning,not_natural,2,true,Potential annotation; needs OED/primary corroboration if prominent.
artificial memory,phrase_anchor,Rhetorical learned-system phrase; artificial means trained by rules/art.,classical rhetorical tradition; English Ngram collected,technical_rule_reckoning,art_skill_making,6,true,Strong conceptually but not an early English phrase proof in this pass.
artificial arguments,phrase_anchor,Rhetorical phrase for arguments invented by the speaker/art rather than external authority.,Johnson/Webster tradition; Webster 1828 collected,technical_rule_reckoning,art_skill_making,3,false,Good technical support but may be obscure.
