source_name,source_type,url_or_path,access_status,date_accessed,used_for,notes
round_02_direct_contrast_status.csv,local_processed_file,docs/research/artificial/chart_04_suspicion_distance/chart_04b_semantic_mobility_round_02/processed/round_02_direct_contrast_status.csv,read,2026-05-13,identify unresolved pairs,Focused the new pass.
round_02_realistic_bridge_status.csv,local_processed_file,docs/research/artificial/chart_04_suspicion_distance/chart_04b_semantic_mobility_round_02/processed/round_02_realistic_bridge_status.csv,read,2026-05-13,identify weak bridge items,Focused the new pass.
round_02_manual_review_queue.csv,local_processed_file,docs/research/artificial/chart_04_suspicion_distance/chart_04b_semantic_mobility_round_02/processed/round_02_manual_review_queue.csv,read,2026-05-13,carry forward gap priorities,Used for narrow scope.
round_02_semantic_mobility_findings.md,local_notes_file,docs/research/artificial/chart_04_suspicion_distance/chart_04b_semantic_mobility_round_02/notes/round_02_semantic_mobility_findings.md,read,2026-05-13,carry forward central thesis,Ensured continuity.
Artificial Intelligence: Foundations of Computational Agents,book_excerpt,https://www.cs.ubc.ca/~poole/aibook/2e/html2e/ArtInt2e.Ch1.S1.SS1.html,accessed,2026-05-13,strong conceptual distinction,Best orthogonal-axes evidence.
FCC Declaratory Ruling FCC 24-17,regulatory_source,https://docs.fcc.gov/public/attachments/FCC-24-17A1.pdf,accessed,2026-05-13,artificial voice and simulated voice relation,Best institutional source for artificial/simulated voice.
World-Architects,web_snippet,https://www.world-architects.com/en/architecture-news/film/artificial-but-not-fake,accessed,2026-05-13,carry forward direct phrase,Still top exact phrase.
LAW'S|EMPIRICS,web_snippet,https://legalempirics.com/10.25527/re.2019.07/why-lab-experiments-are-a-powerful-tool-for-legal-scholarship/,accessed,2026-05-13,carry forward direct phrase,Methodological domain contrast.
University of Oregon news,university_news,https://news.uoregon.edu/more-realistic-artificial-skin-may-lead-medical-advances,accessed,2026-05-13,upgrade realistic artificial skin,Research-context bridge.
MedicalXpress science news,science_news,https://medicalxpress.com/news/2024-03-realistic-artificial-skin-medical-advances.html,accessed,2026-05-13,corroborate realistic skin,Secondary support.
Artificial limbs - PMC,medical_review,https://pmc.ncbi.nlm.nih.gov/articles/PMC1121287/,accessed_via_search_snippet,2026-05-13,upgrade realistic limb evidence,Open page blocked but snippet usable.
Voice clones sound realistic but not yet hyperrealistic,PLOS_One,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0332692,accessed,2026-05-13,upgrade realistic artificial voice,Strong perception evidence.
Exploring expressivity and emotion with artificial voice and speech technologies,PubMed_article,https://pubmed.ncbi.nlm.nih.gov/24024543/,accessed_via_search_snippet,2026-05-13,older artificial voice research,Historical voice support.
Prosthetic Eye Cleveland Clinic,medical_reference,https://my.clevelandclinic.org/health/treatments/prosthetic-eye-ocular-prosthesis,accessed,2026-05-13,upgrade artificial eyes evidence,Medical rather than product source.
Medical Simulators NIBIB,gov_reference,https://www.nibib.nih.gov/science-education/science-topics/medical-simulators,accessed_via_search_snippet,2026-05-13,simulation basin wording,Useful official simulation framing.
BMC Public Health artificially simulated outbreak,academic_article,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-8243-6,accessed_via_search_snippet,2026-05-13,technical simulated phrasing,Specific procedural simulation evidence.
