term,source_name,source_type,definition_summary,key_distinctions,overlaps_with_artificial,contrasts_with_artificial,confidence,notes
artificial,WordReference,learner_dictionary,"Human made and not natural; may also mean imitation or forced.",Carries multiple senses across made object substitute and affectation domains,synthetic; constructed; manufactured; imitation; simulated,natural; real; genuine,high,Core polysemous anchor.
fake,Merriam-Webster,dictionary,"Not real genuine or true; counterfeit or sham.",Deception and non genuineness are central rather than incidental,feigned branch; not genuine branch,neutral human made branch; regulatory additive branch,high,Fake adjacent not identical.
false,WordReference,learner_dictionary,"Not true; deceptive; not genuine; sometimes a substitute.",Truth error and misleading senses are broader than artificial,artificial smile; false teeth,made by human skill sense,high,Can touch both statement and object domains.
counterfeit,Merriam-Webster,dictionary,"Imitation made with intent to deceive.",Fraud intent is stronger and narrower than artificial,copy branch at deceptive edge,constructed neutral branch; synthetic material branch,high,Very strong fake basin anchor.
sham,WordReference,learner_dictionary,"Pretended false or counterfeit; a fraud or false show.",Performance and pretence dominate more than manufacture,affected or feigned branch,artificial satellite and other neutral built uses,high,Closer to performative falseness.
synthetic,WordReference,learner_dictionary,"Chemically formed by human agency rather than natural origin; by extension false or pretended.",Material and chemical process are more central than in artificial,material additive and non natural branch,sincerity branch; many neutral built but non chemical uses,high,Important near neighbor not equivalent.
imitation,WordReference,learner_dictionary,"Copy or counterfeit; designed to imitate a genuine article.",Copying an original is central,substitute and resemblance branch,broad made branch that does not aim to copy,high,Closer in object substitution than in origin.
simulated,Merriam-Webster,dictionary,"Made to look genuine or used to model a system or event.",Representation and modeling are more central than manufacture,appearance and lifelike branch,industrial additive and origin branch,medium,Needs more corpus for technical uses.
realistic,Merriam-Webster,dictionary,"Convincingly rendered to appear natural or real.",Representation effect rather than ontological status,appearance branch and simulation bridge,real itself and natural origin,high,Must not be collapsed into real.
real,WordReference,learner_dictionary,"Actual or genuine; not counterfeit artificial or imitation.",Ontological and authenticity claim stronger than realistic,only as opposite pole,artificial; imitation; counterfeit,high,Strongest contrast anchor with natural in some contexts.
genuine,WordReference,learner_dictionary,"Possessing the claimed origin or quality; sincere; not counterfeit.",Adds sincerity and provenance more explicitly than real,opposes artificial manners and not genuine sense,artificial when used for feigned or substitute objects,high,Do not equate with natural.
authentic,Merriam-Webster,dictionary,"Not false or imitation; real; trustworthy; true to an original.",Adds authority and verified origin,opposes artificial at the not genuine edge,neutral human made branch and not natural branch,high,Close to genuine but more certification coded.
natural,WordReference,learner_dictionary,"Existing in or formed by nature and not by humans; also spontaneous and minimally processed.",Origin and spontaneity are central,opposes artificial across material and manner senses,artificial built processed or contrived uses,high,Do not equate with genuine.
constructed,WordReference,learner_dictionary,"Built by putting parts together.",Neutral assembly sense without necessary deception,core made branch,fake and sincerity branches,high,Very near the built core.
manufactured,WordReference,learner_dictionary,"Produced by hand or machinery at scale; sometimes made up figuratively.",Industrial production is central,industrial made branch,natural origin and sincerity branches,medium,Can drift figuratively toward contrived.
processed,Merriam-Webster,dictionary,"Subjected to a special treatment or manufacturing process.",Treatment and handling are central rather than imitation,consumer additive and industrial branch,real or fake binary by itself,high,Good secondary neighbor.
