term_or_phrase,primary_layer,layer_name,layer_role,function_mode,sense_track,chart_priority,current_relevance,speculative_status
artificial aid,1,external_artificial_things,background_support,support,unclear,background,historical,established_term
artificial apparatus,1,external_artificial_things,background_support,support,unclear,background,historical,established_term
artificial device,1,external_artificial_things,background_support,support,unclear,background,historical,established_term
artificial support,1,external_artificial_things,background_support,support,unclear,background,historical,established_term
mechanical aid,1,external_artificial_things,background_support,support,unclear,background,historical,established_term
life-saving apparatus,1,external_artificial_things,background_support,support,unclear,background,historical,established_term
artificial respiration,2,body_support,maintain_life_process,support,medical_support,core,historical,established_term
artificial feeding,2,body_support,maintain_life_process,support,medical_support,core,historical,established_term
artificial nutrition,2,body_support,maintain_life_process,support,medical_support,supporting,historical,established_term
artificial hydration,2,body_support,maintain_life_process,support,medical_support,supporting,historical,established_term
artificial life support,2,body_support,maintain_life_process,support,medical_support,core,modern_established,established_term
life support,2,body_support,maintain_life_process,support,medical_support,core,modern_established,established_term
mechanical ventilation,2,body_support,maintain_life_process,support,medical_support,core,modern_established,established_term
nutritional support,2,body_support,maintain_life_process,support,medical_support,supporting,modern_established,established_term
tube feeding,2,body_support,maintain_life_process,support,medical_support,supporting,modern_established,established_term
artificial limb,3,body_replacement,replace_human_function,replacement,prosthetic_replacement,core,historical,established_term
artificial limbs,3,body_replacement,replace_human_function,replacement,prosthetic_replacement,supporting,historical,established_term
prosthesis,3,body_replacement,replace_human_function,replacement,prosthetic_replacement,core,historical,established_term
prosthetic limb,3,body_replacement,replace_human_function,replacement,prosthetic_replacement,supporting,modern_established,established_term
artificial heart,3,body_replacement,replace_human_function,replacement,organ_replacement,core,modern_established,established_term
artificial hearts,3,body_replacement,replace_human_function,replacement,organ_replacement,supporting,modern_established,established_term
artificial kidney,3,body_replacement,replace_human_function,replacement,organ_replacement,core,modern_established,established_term
artificial organ,3,body_replacement,replace_human_function,replacement,organ_replacement,core,modern_established,established_term
artificial organs,3,body_replacement,replace_human_function,replacement,organ_replacement,core,modern_established,established_term
heart-assist device,3,body_replacement,assist_or_replace_function,replacement,organ_replacement,supporting,modern_established,established_term
bionic limb,3,body_replacement,replace_human_function,replacement,prosthetic_replacement,supporting,modern_established,emerging_term
synthetic organ,3,body_replacement,replace_human_function,replacement,organ_replacement,supporting,modern_emerging,emerging_term
artificial insemination,4,reproduction_continuation,generate_or_continue_life,continuation,biological_life,core,historical,established_term
artificial fertilization,4,reproduction_continuation,generate_or_continue_life,continuation,biological_life,core,historical,established_term
artificial fertilisation,4,reproduction_continuation,generate_or_continue_life,continuation,biological_life,variant,historical,established_term
in vitro fertilization,4,reproduction_continuation,generate_or_continue_life,continuation,biological_life,core,modern_established,established_term
in vitro fertilisation,4,reproduction_continuation,generate_or_continue_life,continuation,biological_life,variant,modern_established,established_term
test-tube baby,4,reproduction_continuation,generate_or_continue_life,continuation,biological_life,supporting,modern_established,established_term
artificial womb,4,reproduction_continuation,gestation_boundary,continuation,biological_life,core,modern_emerging,emerging_term
ectogenesis,4,reproduction_continuation,gestation_boundary,continuation,biological_life,supporting,modern_emerging,speculative_term
artificial life,5,human_process_cognition_presence,life_process_simulation,simulation,computational_life,bridge,historical,established_term
artificial language,5,human_process_cognition_presence,human_symbol_process,simulation,human_process,core,historical,established_term
artificial voice,5,human_process_cognition_presence,human_presence,simulation,voice_presence,core,modern_emerging,policy_sensitive
synthetic voice,5,human_process_cognition_presence,human_presence,simulation,voice_presence,supporting,modern_emerging,policy_sensitive
voice cloning,5,human_process_cognition_presence,human_presence,simulation,voice_presence,supporting,modern_emerging,policy_sensitive
AI voice,5,human_process_cognition_presence,human_presence,simulation,voice_presence,supporting,modern_emerging,policy_sensitive
artificial intelligence,5,human_process_cognition_presence,cognitive_process,simulation,cognitive_process,core,modern_established,established_term
machine intelligence,5,human_process_cognition_presence,cognitive_process,simulation,cognitive_process,supporting,historical,established_term
artificial neural network,5,human_process_cognition_presence,cognitive_model,simulation,cognitive_process,core,modern_established,established_term
neural network,5,human_process_cognition_presence,cognitive_model,simulation,cognitive_process,supporting,modern_established,established_term
artificial consciousness,5,human_process_cognition_presence,consciousness_edge,speculative_extension,philosophical_life,edge,speculative,philosophical_term
machine consciousness,5,human_process_cognition_presence,consciousness_edge,speculative_extension,philosophical_life,edge,speculative,philosophical_term
artificial companion,5,human_process_cognition_presence,social_presence,speculative_extension,social_presence,edge,modern_emerging,emerging_term
AI companion,5,human_process_cognition_presence,social_presence,speculative_extension,social_presence,edge,modern_emerging,emerging_term
artificial agent,5,human_process_cognition_presence,agency_presence,speculative_extension,cognitive_process,edge,modern_emerging,terminology_unstable
AI agent,5,human_process_cognition_presence,agency_presence,speculative_extension,cognitive_process,edge,modern_emerging,terminology_unstable
artificial general intelligence,5,human_process_cognition_presence,general_cognition,speculative_extension,cognitive_process,edge,speculative,hype_sensitive
artificial creativity,5,human_process_cognition_presence,creative_process,speculative_extension,cognitive_process,edge,modern_emerging,emerging_term
