term,stratum,visual_role,peak_year,peak_per_million,position_note
imitation,I,anchor,1810,18.69,left wave — old inauthenticity
forgery,I,anchor,1830,9.99,left wave — old inauthenticity
genuine,I,anchor,1805,22.48,left wave — old authenticity affirmation
authentic,I,anchor,1805,11.93,left wave — old authenticity (broad but era-correct)
counterfeit,I,texture,1811,6.08,left wave — too broad for primary anchor
originality,I,texture,1852,4.59,left wave — authorship pressure
faithful copy,I,texture,1802,0.19,left wave — very weak
lifelike,I,anchor,1871,0.48,bridge — quality pressure mid-left
true to life,I,anchor,1943,0.32,bridge — quality pressure mid
authenticity,I,anchor,2016,6.51,right wave — new theoretical authenticity
simulation,I+V,anchor,1995,36.14,right wave + Stratum V (double-coded)
simulated,I,texture,1995,10.78,right wave — pairs with simulation
authentic experience,I,texture,2018,0.08,right wave — contemporary but too weak
panorama,II,anchor,1808,4.20,spectacle apparatus
automaton,II,anchor,1821,2.18,spectacle apparatus — use 19c window only
diorama,II,anchor,1851,1.41,spectacle apparatus
stereoscope,II,anchor,1858,1.71,spectacle apparatus
magic lantern,II,anchor,1869,0.67,spectacle apparatus
lifelike,II,texture,1871,0.48,also in Stratum I — quality bridge
stage effect,II,texture,1818,0.25,theatrical but old/broad
waxworks,II,texture,1952,0.09,spectacle apparatus — too weak for anchor
theatrical illusion,II,texture,1817,0.03,too weak for anchor
limelight,III,texture,2019,0.77,stage lighting — late peak is misleading; use 19c avg
artificial scenery,II,texture,1818,0.04,very weak
electric light,III,anchor,1897,21.86,dominant artificial-light anchor
photograph,III,anchor,1832,15.40,use first-above-1/M year (1832) as position; long arc
photography,III,anchor,1851,14.29,photographic technology; use 1851 first-above-1/M as position
phonograph,III,anchor,1947,4.45,sound reproduction; use 1878 first-above-1/M as position
phonographic,III,texture,1890,2.08,adjectival phonograph; use 1877 crossing as position
moving picture,III,anchor,1916,4.36,early cinema
cinematograph,III,texture,1914,1.42,early cinema; overlaps with moving picture
artificial lighting,III,anchor,1925,0.39,artificial-perception phrase within reproduction layer
