query_or_term,source_path_or_group,coverage_status,earliest_year,peak_year_or_latest_peak,latest_year,interpretation_note,notes
artificial imitation,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,collected,1800,1818,2019,Existing baseline confirms phrase visibility but not semantic frequency weight,Optional term in baseline.
artificial substitute,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,collected,1806,1867,2019,Useful visibility for substitute basin only,Do not overinterpret.
artificial simulation,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,not_in_target_baseline,,,,No targeted baseline row found during this pass,Could be checked later if needed.
artificial voice,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,collected,1801,1944,2019,Supports long standing visibility of voice as an exit phrase,Use only as baseline.
artificial language,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,collected,1800,1827,2019,Shows phrase is longstanding and already paired with natural language in the project,Good exit marker visibility.
artificial life,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,collected,1800,1998,2019,Supports late modern visibility of the life exit phrase,Do not treat as semantic proof.
artificial intelligence,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,collected,1802,2019,2019,Shows strong modern prominence of the intelligence exit phrase,Background only.
realistic artificial,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,not_in_target_baseline,,,,No targeted phrase row found in the baseline,Collocation evidenced via snippets instead.
artificial vs fake,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_phrase_pair_groups.json,not_in_target_baseline,,,,The baseline tracks terms and some phrase pairs rather than explicit versus strings,Use snippet evidence instead.
artificial vs synthetic,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_phrase_pair_groups.json,not_in_target_baseline,,,,No explicit versus row found in the local baseline,Use direct contrast snippets instead.
