term_or_phrase,source_name,source_type,source_url,year_or_period,update_type,short_summary,chart4b_use,confidence,notes
artificial but not fake,World-Architects,web_snippet,https://www.world-architects.com/en/architecture-news/film/artificial-but-not-fake,2023,direct_contrast,"Claude Cormier's formula explicitly separates artificial from fake while tying it to authenticity rather than deception.",Strengthens fake as drift target not synonym,high,Best exact modern phrase hit.
artificial but not fake,LAW'S|EMPIRICS,web_snippet,https://legalempirics.com/10.25527/re.2019.07/why-lab-experiments-are-a-powerful-tool-for-legal-scholarship/,2019,direct_contrast,"A laboratory setting is described as artificial but not fake because the incentives and outcomes remain real.",Shows process settings can be artificial without being counterfeit or deceptive,high,Useful non aesthetic example.
artificial vs synthetic,Headcount Coffee,web_snippet,https://www.headcountcoffee.com/blogs/food-drink/artificial-and-synthetic-food-labels-defined-by-source-rules,2026,direct_contrast,"Synthetic is framed as a production method while artificial is framed as a labeling or source category.",Sharpens the material basin around synthetic,high,Modern food label distinction.
artificial vs synthetic,Dictionary.net,comparison_page,https://www.dictionary.net/compare/artificial-vs-synthetic,2026,direct_contrast,"Artificial is broader human made language; synthetic is a chemical synthesis subset.",Supports relation score without collapsing the pair,medium,Comparison source not primary authority.
artificial language,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/artificial%20language,current,exit_marker,"A language devised for a specific purpose and contrasted with natural language.",Marks a clean exit from object and material zones toward language systems,high,Strong Chart 5 bridge.
artificial intelligence,Britannica,reference_source,https://www.britannica.com/technology/artificial-intelligence,current,exit_marker,"Artificial intelligence is defined as machine performance of tasks associated with human intellectual processes.",Marks the strongest human cognition exit,high,Do not analyze deeply here.
artificial life,Britannica,reference_source,https://www.britannica.com/technology/artificial-life,current,exit_marker,"Artificial life is presented as simulation of life and as a process view rather than a fixed substance.",Useful exit because it joins process and simulation,high,Important for mobility thesis.
artificial neural network,NVIDIA Developer,reference_source,https://developer.nvidia.com/discover/artificialneuralnetwork,current,exit_marker,"Artificial neural network is a computational model patterned after the brain.",Shows human process borrowing through modeled cognition,high,Notes only in Chart 4B.
artificial creativity,AI & Society,academic_abstract,https://link.springer.com/article/10.1007/s00146-025-02682-3,2025-2026,exit_marker,"Artificial creativity is framed as a non-cognitive and non-authentic generative mechanism.",Useful exit lead but already pushes toward Chart 5 and philosophy of AI,medium,Keep as notes only.
artificial consciousness,Wikipedia,backup_reference,https://en.wikipedia.org/wiki/Artificial_consciousness,current,exit_marker,"Artificial consciousness is a hypothetical or research term rather than a stable everyday basin term.",Signals the far edge of human process extension,low,Low priority backup only.
