id,search_phrase,term_relation,source_period,year_or_period,source_name,source_type,source_url,confidence,short_summary,chart4b_value,notes
d001,artificial but not fake,artificial_vs_fake,2019_2026,2023,World-Architects,web_snippet,https://www.world-architects.com/en/architecture-news/film/artificial-but-not-fake,high,Exact phrase explicitly separates artificial from fake while pairing artificial with authenticity rather than deception.,high,Best exact phrase hit from this round.
d002,artificial but not fake,artificial_vs_fake,2019_2026,2019,LAW'S|EMPIRICS,web_snippet,https://legalempirics.com/10.25527/re.2019.07/why-lab-experiments-are-a-powerful-tool-for-legal-scholarship/,high,Lab settings are described as artificial but not fake because consequences and incentives are real.,high,Useful process example outside consumer goods.
d003,artificial vs fake,artificial_vs_fake,pre_1800,1590s,Henry VI Part 3,book_snippet,https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,high,Artificial tears shows a genuine fake adjacent use but only in a narrowed emotional context.,medium,Supports drift not equivalence.
d004,artificial vs synthetic,artificial_vs_synthetic,2019_2026,2026,Headcount Coffee,web_snippet,https://www.headcountcoffee.com/blogs/food-drink/artificial-and-synthetic-food-labels-defined-by-source-rules,high,Synthetic is framed as production method while artificial is framed as label and source category.,high,Strongest modern direct distinction.
d005,artificial vs synthetic,artificial_vs_synthetic,2019_2026,2026,Proper Wild,web_snippet,https://properwild.com/blogs/blog/how-is-caffeine-made-artificial-vs-natural,medium,Natural and synthetic caffeine are distinguished by origin while artificial language remains a broader consumer contrast field.,medium,Indirect but useful for material basin.
d006,artificial imitation,artificial_vs_imitation,2019_2026,current,WordReference imitation,learner_dictionary,https://www.wordreference.com/definition/imitation,high,Imitation foregrounds copying a genuine article whereas artificial can simply mean human made or substitute.,medium,Definition still stronger than corpus.
d007,artificial substitute,artificial_vs_imitation,1800_2019,1867-2019,existing Chart 4 baseline,corpus_result,docs/research/artificial/chart_04_suspicion_distance/processed/chart_04_term_metadata.csv,medium,The phrase artificial substitute exists in the baseline and supports the substitute branch without proving deception.,medium,Visibility evidence only.
d008,artificial vs simulated,artificial_vs_simulated,2019_2026,current,Merriam-Webster simulated,dictionary,https://www.merriam-webster.com/dictionary/simulated,medium,Simulated centers on modeled appearance or event reproduction rather than broad human made status.,medium,Still largely definition led.
d009,artificial but realistic,artificial_vs_realistic,2019_2026,current,Merriam-Webster realistic,dictionary,https://www.merriam-webster.com/dictionary/realistic,high,Artificial skin can be realistic without becoming real skin.,high,Core bridge evidence.
d010,artificial vs genuine,artificial_vs_genuine,pre_1800,1787,Thoughts on the Education of Daughters,book_snippet,https://www.gutenberg.org/ebooks/67466.html.images,high,Artificial manners are opposed to genuine feeling and sincerity.,high,Strongest sincerity contrast remains historical.
d011,artificial vs authentic,artificial_vs_authentic,2019_2026,2023,World-Architects,web_snippet,https://www.world-architects.com/en/architecture-news/film/artificial-but-not-fake,medium,Artificial is explicitly paired with authenticity rather than fakeness in a designed environment.,medium,Near exact not exact contrast phrase.
d012,artificial vs natural,artificial_vs_natural,1800_1850,1828,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,high,Artificial is defined against natural at the dictionary core.,high,Still one of the strongest oppositions.
d013,artificial vs real,artificial_vs_real,2019_2026,current,WordReference real,learner_dictionary,https://www.wordreference.com/definition/real,high,Real is opposed to counterfeit imitation and artificial, so realistic must not be collapsed into real.,high,Strong contrast anchor.
d014,artificial and false,unclear_or_mixed,2019_2026,current,WordReference false,learner_dictionary,https://www.wordreference.com/definition/false,medium,False overlaps with artificial only in specific substitute or insincere uses and is otherwise much broader.,low,Useful as a caution rather than a core contrast.
