id,focus_area,source_name,source_type,source_url,year_or_period,authority_reason,confidence,short_summary,chart4b_value,notes
a001,artificial_vs_simulated,FCC Declaratory Ruling FCC 24-17,regulatory_source,https://docs.fcc.gov/public/attachments/FCC-24-17A1_Rcd.pdf,2024,Official U.S. federal communications ruling,high,The FCC confirms that AI voice cloning counts as artificial or prerecorded voice because it artificially simulates a human voice.,high,Strongest authority source for artificial/simulated voice relation.
a002,artificial_vs_simulated,FCC Notice FCC 23-101,regulatory_source,https://docs.fcc.gov/public/attachments/FCC-23-101A1.pdf,2023,Official FCC notice preceding the 2024 ruling,high,The notice asks how AI technologies that simulate a human voice fit within artificial or prerecorded voice rules.,medium,Useful chronology before the final ruling.
a003,artificial_vs_simulated,FCC Notice FCC 24-84,regulatory_source,https://docs.fcc.gov/public/attachments/FCC-24-84A1.pdf,2024,Official FCC accessibility related proceeding,medium_high,The FCC asks whether artificial or prerecorded voice can be defined to exclude positive accessibility uses of AI voice technologies.,medium,Important because artificial voice is not only suspicious or deceptive.
a004,realistic_artificial_skin,Development and Mechanical Characterization of Artificial Skin for Surgical Suture Training,PubMed/PMC_article,https://pubmed.ncbi.nlm.nih.gov/40276440/,2025,Peer-reviewed biomedical article with PubMed/PMC record,high,The abstract describes realistic artificial skin models that replicate viscoelastic and tensile properties of human skin for training.,high,Adds hard medical support beyond university news.
a005,realistic_artificial_skin,NIH Intramural Research Program,gov_research_news,https://irp.nih.gov/index.php/blog/post/2023/10/a-new-model-of-an-old-itch,2023,NIH intramural research communication,high,NIH describes realistic 3D human skin models and artificial skin used to study eczema and drug response.,high,Strong .gov support for artificial skin as model not fake.
a006,realistic_artificial_skin,Engineered Skin Tissue Equivalents for Product Evaluation and Therapeutic Applications,PMC_review,https://pmc.ncbi.nlm.nih.gov/articles/PMC6615970/,2019,Open biomedical review article,high,The review discusses artificial and reconstructed skin models as substitutes or equivalents used in research and therapeutic applications.,medium_high,Good for artificial as model/equivalent basin.
a007,artificial_vs_simulated,Artificially simulated microgravity preliminary study,PubMed_article,https://pubmed.ncbi.nlm.nih.gov/28268313/,2016,PubMed-indexed biomedical engineering conference paper,medium_high,The study uses artificially simulated microgravity to study cardiovascular changes in humans.,medium,Useful non-voice evidence that artificially simulated names controlled modeling rather than fake.
a008,artificial_vs_simulated,Artificially simulated maxillectomy defects,PubMed_article,https://pubmed.ncbi.nlm.nih.gov/25975670/,2015,PubMed-indexed oral rehabilitation article,medium_high,Artificially simulated defects are used in vocal tract models to establish speech simulation for treatment planning.,medium,Good technical bridge between artificial model and simulation.
a009,human_process_exit,Artificial life,Britannica_reference,https://www.britannica.com/technology/artificial-life,current,High-quality edited reference source,high,Artificial life is defined as computer simulation of life used to study living systems and adaptive behavior.,high,Strong exit marker from object/material toward life process.
a010,human_process_exit,Defining Designing and Distinguishing Artificial Companions,systematic_review,https://link.springer.com/article/10.1007/s12369-023-01031-y,2023,Open-access systematic literature review,high,The review defines artificial companions through adaptivity and engagement aimed at emotional bonds and long-term human-machine relationships.,high,Strong authority for companion as Chart 5 exit marker.
a011,human_process_exit,Artificial Intelligence: Foundations of Computational Agents,open_textbook,https://www.cs.ubc.ca/~poole/aibook/2e/html2e/ArtInt2e.Ch1.S1.SS1.html,2018/2023,University-hosted open textbook,high,The textbook separates real/fake from natural/artificial and argues artificial intelligence can be real intelligence created artificially.,high,Still best conceptual support for non-collapse into fake.
