term,term_slug,query_group,semantic_domain,narrative_role,status,first_nonzero_year,last_nonzero_year,peak_year,peak_value,peak_per_million,recent_year,recent_value,recent_per_million,nonzero_year_count,avg_1800_1849_per_million,avg_1850_1899_per_million,avg_1900_1949_per_million,avg_1950_1999_per_million,avg_2000_2020_per_million,first_above_0_01_per_million,first_above_0_1_per_million,first_above_1_per_million,returned_ngram,notes
artificial politeness,artificial_politeness,chart06_social_supplement,SOCIAL,performed civility / social artificiality,collected,1805,2020,1831,1.9685504781818963e-8,0.019685504781818963,2020,5.639932409984283e-10,0.0005639932409984283,202,0.004980840092594363,0.00187012414859522,0.0004064921034496738,0.0003001057566343057,0.0006296642407212955,1814,,,artificial politeness (All),
artificial courtesy,artificial_courtesy,chart06_social_supplement,SOCIAL,performed civility / etiquette artificiality,collected,1801,2020,1801,2.0393796873463543e-8,0.020393796873463543,2020,8.676818985531298e-11,0.00008676818985531298,163,0.003604244158683656,0.0004557964855544938,0.0001411970716735933,0.00008613745917929183,0.00010954410840726046,1801,,,artificial courtesy,
artificial affectation,artificial_affectation,chart06_social_supplement,SOCIAL,explicit performance and inauthentic style,collected,1811,2020,1829,5.500667477065235e-9,0.005500667477065235,2020,4.338409492765649e-11,0.00004338409492765649,103,0.00035602064962780844,0.00025141409315532215,0.00010321521998202243,0.000060849311978028446,0.00008830746897614539,,,,artificial affectation,
artificial sentiment,artificial_sentiment,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,collected,1805,2020,1824,1.4471734033350003e-8,0.014471734033350003,2020,1.0412182227526046e-9,0.0010412182227526046,199,0.0018917712385491112,0.0026098142125174917,0.0015786207296919486,0.0004701237221738097,0.0007190701446978056,1824,,,artificial sentiment,
artificial emotion,artificial_emotion,chart06_social_supplement,SOCIAL,performed or simulated emotion,collected,1821,2020,2017,5.169046760067353e-9,0.005169046760067353,2020,1.5618274590289971e-9,0.0015618274590289971,163,0.0005546367642939032,0.0005390874582844596,0.0005306512121383555,0.0004113802752614415,0.0021341726254947833,,,,artificial emotion (All),
artificial sympathy,artificial_sympathy,chart06_social_supplement,SOCIAL,performed moral feeling,collected,1808,2020,1834,4.8479238401455405e-9,0.0048479238401455405,2020,8.676818985531298e-11,0.00008676818985531298,138,0.0007551450742493415,0.00036922474327960586,0.00013055166364628334,0.00008824425919151668,0.0002705131637872232,,,,artificial sympathy,
artificial cheerfulness,artificial_cheerfulness,chart06_social_supplement,SOCIAL,performed affect,collected,1801,2020,1801,5.098449218365886e-9,0.005098449218365886,2020,5.206091113763023e-10,0.0005206091113763023,131,0.00043744988964533604,0.0001496978868642529,0.00033433703361396283,0.0001477130325694409,0.0003797785082447293,,,,artificial cheerfulness,
artificial gaiety,artificial_gaiety,chart06_social_supplement,SOCIAL,"performed affect, nineteenth-century register",collected,1802,2020,1804,9.735074080197137e-9,0.009735074080197137,2020,6.941455188425039e-10,0.0006941455188425039,189,0.0014150153659908682,0.0010171419428939288,0.0009012717447354213,0.0006494481918917216,0.0006580663884185137,,,,artificial gaiety,
artificial expression,artificial_expression,chart06_social_supplement,SOCIAL,performed expression and appearance,collected,1800,2020,1864,7.595776452262726e-9,0.007595776452262726,2020,2.2559728737880924e-9,0.0022559728737880924,198,0.001368052975347922,0.0020267293687759036,0.0013913007358701268,0.00107024188074345,0.002133083682405644,,,,artificial expression (All),
artificial gesture,artificial_gesture,chart06_social_supplement,SOCIAL,performed bodily expression,collected,1816,2020,1824,6.679261588260488e-9,0.006679261588260488,2020,4.772250372653275e-10,0.0004772250372653275,153,0.0006701003396614169,0.00021384859966167014,0.0003808448965914035,0.0002731064011746165,0.0003660439884401959,,,,artificial gesture,
