year,term,value,value_per_million,query_group,semantic_domain,narrative_role,source,corpus,smoothing,case_sensitive
1800,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1801,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1802,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1803,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1804,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1805,artificial politeness,5.1558446401145375e-9,0.0051558446401145375,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1806,artificial politeness,2.111817831718099e-9,0.002111817831718099,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1807,artificial politeness,5.616035636535344e-9,0.005616035636535344,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1808,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1809,artificial politeness,9.572942438751397e-9,0.009572942438751397,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1810,artificial politeness,3.750890709142141e-9,0.0037508907091421406,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1811,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1812,artificial politeness,1.4167877981918764e-9,0.0014167877981918764,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1813,artificial politeness,4.96065188926309e-9,0.00496065188926309,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1814,artificial politeness,1.1234988051000983e-8,0.011234988051000983,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1815,artificial politeness,9.050719285141895e-9,0.009050719285141895,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1816,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1817,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1818,artificial politeness,1.521785586433566e-9,0.001521785586433566,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1819,artificial politeness,1.2220980893928868e-9,0.0012220980893928868,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
